Adj Close,Date
238.01,2018-10-15
260.67,2018-10-16
258.91,2018-10-17
250.35,2018-10-18
245.03,2018-10-19
251.06,2018-10-22
251.76,2018-10-23
238.44,2018-10-24
252.92,2018-10-25
245.8,2018-10-26
239.75,2018-10-29
238.41,2018-10-30
245.76,2018-10-31
245.28,2018-11-01
239.64,2018-11-02
239.89,2018-11-05
240.56,2018-11-06
253.43,2018-11-07
249.96,2018-11-08
244.84,2018-11-09
236.67,2018-11-12
238.74,2018-11-13
235.22,2018-11-14
239.95,2018-11-15
238.89,2018-11-16
219.69,2018-11-19
219.73,2018-11-20
225.98,2018-11-21
225.56,2018-11-23
231.96,2018-11-26
232.25,2018-11-27
249.21,2018-11-28
249.09,2018-11-29
250.89,2018-11-30
255.26,2018-12-03
245.82,2018-12-04
250.63,2018-12-06
238.0,2018-12-07
244.09,2018-12-10
245.34,2018-12-11
245.55,2018-12-12
248.08,2018-12-13
230.0,2018-12-14
221.38,2018-12-17
226.18,2018-12-18
224.65,2018-12-19
218.65,2018-12-20
208.8,2018-12-21
205.16,2018-12-24
222.95,2018-12-26
225.14,2018-12-27
223.13,2018-12-28
226.24,2018-12-31
224.57,2019-01-02
215.7,2019-01-03
226.19,2019-01-04
229.26,2019-01-07
232.68,2019-01-08
235.43,2019-01-09
237.77,2019-01-10
237.55,2019-01-11
234.56,2019-01-14
242.36,2019-01-15
241.95,2019-01-16
244.4,2019-01-17
247.51,2019-01-18
243.85,2019-01-22
245.14,2019-01-23
242.56,2019-01-24
244.95,2019-01-25
241.85,2019-01-28
238.27,2019-01-29
242.67,2019-01-30
247.82,2019-01-31
247.38,2019-02-01
254.74,2019-02-04
254.82,2019-02-05
254.35,2019-02-06
253.74,2019-02-07
257.0,2019-02-08
258.39,2019-02-11
261.37,2019-02-12
260.23,2019-02-13
260.14,2019-02-14
259.45,2019-02-15
257.81,2019-02-19
258.1,2019-02-20
257.76,2019-02-21
258.9,2019-02-22
258.62,2019-02-25
261.22,2019-02-26
262.9,2019-02-27
262.5,2019-02-28
264.01,2019-03-01
258.16,2019-03-04
257.38,2019-03-05
256.4,2019-03-06
255.46,2019-03-07
254.74,2019-03-08
260.96,2019-03-11
263.51,2019-03-12
264.38,2019-03-13
267.69,2019-03-14
257.09,2019-03-15
257.76,2019-03-18
260.42,2019-03-19
259.74,2019-03-20
264.18,2019-03-21
259.69,2019-03-22
262.27,2019-03-25
265.67,2019-03-26
262.34,2019-03-27
263.53,2019-03-28
266.49,2019-03-29
272.15,2019-04-01
271.35,2019-04-02
271.5,2019-04-03
267.89,2019-04-04
267.42,2019-04-05
268.81,2019-04-08
269.07,2019-04-09
271.58,2019-04-10
271.9,2019-04-11
271.86,2019-04-12
272.22,2019-04-15
271.43,2019-04-16
269.45,2019-04-17
270.57,2019-04-18
272.21,2019-04-22
278.49,2019-04-23
275.45,2019-04-24
277.66,2019-04-25
281.96,2019-04-26
286.14,2019-04-29
289.25,2019-04-30
283.35,2019-05-01
279.64,2019-05-02
285.58,2019-05-03
283.66,2019-05-06
277.07,2019-05-07
276.77,2019-05-08
275.79,2019-05-09
278.48,2019-05-10
267.7,2019-05-13
271.86,2019-05-14
276.82,2019-05-15
283.55,2019-05-16
279.85,2019-05-17
275.45,2019-05-20
278.07,2019-05-21
281.82,2019-05-22
274.25,2019-05-23
274.77,2019-05-24
278.25,2019-05-28
273.38,2019-05-29
274.51,2019-05-30
270.9,2019-05-31
259.03,2019-06-03
268.71,2019-06-04
272.86,2019-06-05
274.8,2019-06-06
278.16,2019-06-07
280.34,2019-06-10
275.99,2019-06-11
276.84,2019-06-12
276.3,2019-06-13
274.28,2019-06-14
275.6,2019-06-17
276.78,2019-06-18
291.21,2019-06-19
302.11,2019-06-20
299.33,2019-06-21
299.87,2019-06-24
287.97,2019-06-25
288.72,2019-06-26
293.23,2019-06-27
294.65,2019-06-28
300.97,2019-07-01
301.39,2019-07-02
305.7,2019-07-03
303.98,2019-07-05
302.92,2019-07-08
304.2,2019-07-09
306.98,2019-07-10
307.6,2019-07-11
309.42,2019-07-12
308.76,2019-07-15
305.7,2019-07-16
309.39,2019-07-17
310.08,2019-07-18
306.87,2019-07-19
308.55,2019-07-22
307.88,2019-07-23
310.27,2019-07-24
308.73,2019-07-25
311.27,2019-07-26
307.22,2019-07-29
303.64,2019-07-30
298.86,2019-07-31
298.44,2019-08-01
293.71,2019-08-02
280.36,2019-08-05
286.21,2019-08-06
289.02,2019-08-07
297.78,2019-08-08
294.83,2019-08-09
288.65,2019-08-12
293.17,2019-08-13
283.66,2019-08-14
282.71,2019-08-15
287.45,2019-08-16
287.97,2019-08-19
285.71,2019-08-20
291.53,2019-08-21
287.69,2019-08-22
282.44,2019-08-23
288.74,2019-08-26
289.45,2019-08-27
282.13,2019-08-28
286.63,2019-08-29
284.51,2019-08-30
282.45,2019-09-03
284.6,2019-09-04
287.75,2019-09-05
284.94,2019-09-06
279.3,2019-09-09
276.14,2019-09-10
277.78,2019-09-11
278.02,2019-09-12
278.35,2019-09-13
282.93,2019-09-16
284.615,2019-09-17
279.72,2019-09-18
281.26,2019-09-19
277.91,2019-09-20
277.44,2019-09-23
272.47,2019-09-24
277.43,2019-09-25
283.81,2019-09-26
277.54,2019-09-27
276.25,2019-09-30
272.71,2019-10-01
266.66,2019-10-02
272.4,2019-10-03
276.96,2019-10-04
276.9,2019-10-07
270.83,2019-10-08
274.27,2019-10-09
274.98,2019-10-10
278.29,2019-10-11
277.78,2019-10-14
279.39,2019-10-15
272.7,2019-10-16
269.24,2019-10-17
265.52,2019-10-18
266.84,2019-10-21
261.09,2019-10-22
261.32,2019-10-23
269.7,2019-10-24
270.98,2019-10-25
271.35,2019-10-28
271.45,2019-10-29
278.41,2019-10-30
277.93,2019-10-31
277.82,2019-11-01
277.5,2019-11-04
289.29,2019-11-05
287.4,2019-11-06
290.77,2019-11-07
292.46,2019-11-08
290.27,2019-11-11
291.72,2019-11-12
293.54,2019-11-13
294.53,2019-11-14
297.5,2019-11-15
297.07,2019-11-18
300.6,2019-11-19
300.1,2019-11-20
298.8,2019-11-21
299.3,2019-11-22
305.28,2019-11-25
307.9,2019-11-26
309.06,2019-11-27
309.53,2019-11-29
302.75,2019-12-02
303.91,2019-12-03
302.51,2019-12-04
303.03,2019-12-05
306.23,2019-12-06
307.05,2019-12-09
304.17,2019-12-10
303.74,2019-12-11
305.96,2019-12-12
317.94,2019-12-13
323.8,2019-12-16
322.85,2019-12-17
324.38,2019-12-18
327.63,2019-12-19
327.61,2019-12-20
328.95,2019-12-23
329.64,2019-12-24
331.2,2019-12-26
330.79,2019-12-27
328.34,2019-12-30
329.81,2019-12-31
334.43,2020-01-02
331.81,2020-01-03
333.71,2020-01-06
333.39,2020-01-07
337.87,2020-01-08
340.45,2020-01-09
339.81,2020-01-10
345.63,2020-01-13
344.63,2020-01-14
342.94,2020-01-15
345.38,2020-01-16
349.74,2020-01-17
350.0,2020-01-21
350.06,2020-01-22
351.76,2020-01-23
351.37,2020-01-24
346.9,2020-01-27
354.63,2020-01-28
351.66,2020-01-29
356.74,2020-01-30
351.14,2020-01-31
358.0,2020-02-03
366.74,2020-02-04
