Adj Close,Date
67.62,2018-10-15
68.94,2018-10-16
69.08,2018-10-17
68.77,2018-10-18
69.75,2018-10-19
69.51,2018-10-22
69.28,2018-10-23
65.71,2018-10-24
66.32,2018-10-25
65.11,2018-10-26
64.91,2018-10-29
63.92,2018-10-30
68.55,2018-10-31
68.88,2018-11-01
68.51,2018-11-02
68.89,2018-11-05
68.77,2018-11-06
70.34,2018-11-07
69.75,2018-11-08
68.68,2018-11-09
67.89,2018-11-12
68.41,2018-11-13
68.12,2018-11-14
68.08,2018-11-15
69.14,2018-11-16
68.0,2018-11-19
66.57,2018-11-20
66.78,2018-11-21
67.07,2018-11-23
67.49,2018-11-26
67.49,2018-11-27
68.92,2018-11-28
68.68,2018-11-29
68.45,2018-11-30
67.8,2018-12-03
66.57,2018-12-04
67.3,2018-12-06
65.69,2018-12-07
65.73,2018-12-10
65.53,2018-12-11
66.1,2018-12-12
66.36,2018-12-13
65.65,2018-12-14
64.81,2018-12-17
64.78,2018-12-18
64.87,2018-12-19
64.26,2018-12-20
61.93,2018-12-21
60.8,2018-12-24
63.01,2018-12-26
62.65,2018-12-27
63.24,2018-12-28
63.61,2018-12-31
65.26,2019-01-02
65.02,2019-01-03
67.49,2019-01-04
68.44,2019-01-07
67.77,2019-01-08
67.72,2019-01-09
67.96,2019-01-10
69.0,2019-01-11
67.91,2019-01-14
67.14,2019-01-15
66.69,2019-01-16
66.25,2019-01-17
66.96,2019-01-18
66.83,2019-01-22
67.8,2019-01-23
68.66,2019-01-24
68.48,2019-01-25
67.62,2019-01-28
67.78,2019-01-29
68.32,2019-01-30
69.62,2019-01-31
69.63,2019-02-01
69.41,2019-02-04
66.85,2019-02-05
66.94,2019-02-06
68.28,2019-02-07
68.38,2019-02-08
68.44,2019-02-11
69.6,2019-02-12
69.07,2019-02-13
70.5,2019-02-14
72.05,2019-02-15
72.52,2019-02-19
72.75,2019-02-20
73.41,2019-02-21
73.2,2019-02-22
73.05,2019-02-25
72.53,2019-02-26
72.12,2019-02-27
72.21,2019-02-28
72.34,2019-03-01
71.65,2019-03-04
71.41,2019-03-05
70.78,2019-03-06
71.32,2019-03-07
70.65,2019-03-08
71.47,2019-03-11
71.7,2019-03-12
72.25,2019-03-13
72.34,2019-03-14
73.46,2019-03-15
73.68,2019-03-18
72.59,2019-03-19
72.06,2019-03-20
72.26,2019-03-21
71.9,2019-03-22
72.31,2019-03-25
73.34,2019-03-26
72.24,2019-03-27
69.15,2019-03-28
69.1,2019-03-29
69.97,2019-04-01
69.73,2019-04-02
69.0,2019-04-03
70.05,2019-04-04
70.35,2019-04-05
71.23,2019-04-08
71.42,2019-04-09
72.16,2019-04-10
73.0,2019-04-11
73.71,2019-04-12
73.79,2019-04-15
74.1,2019-04-16
