Adj Close,Date
141.95,2018-10-15
147.44,2018-10-16
147.01,2018-10-17
142.84,2018-10-18
140.49,2018-10-19
142.95,2018-10-22
140.66,2018-10-23
133.26,2018-10-24
140.8,2018-10-25
135.52,2018-10-26
130.99,2018-10-29
132.17,2018-10-30
137.24,2018-10-31
139.59,2018-11-01
136.79,2018-11-02
135.44,2018-11-05
133.95,2018-11-06
141.79,2018-11-07
141.87,2018-11-08
136.92,2018-11-09
130.5,2018-11-12
132.16,2018-11-13
129.35,2018-11-14
132.49,2018-11-15
132.55,2018-11-16
121.01,2018-11-19
120.67,2018-11-20
123.59,2018-11-21
122.03,2018-11-23
126.41,2018-11-26
127.54,2018-11-27
140.64,2018-11-28
139.72,2018-11-29
142.76,2018-11-30
144.15,2018-12-03
139.24,2018-12-04
142.06,2018-12-06
135.95,2018-12-07
137.27,2018-12-10
136.79,2018-12-11
140.09,2018-12-12
141.14,2018-12-13
137.04,2018-12-14
130.83,2018-12-17
132.32,2018-12-18
131.16,2018-12-19
127.73,2018-12-20
122.91,2018-12-21
121.33,2018-12-24
130.84,2018-12-26
135.2,2018-12-27
134.68,2018-12-28
136.97,2018-12-31
135.55,2019-01-02
130.4,2019-01-03
137.96,2019-01-04
142.22,2019-01-07
145.72,2019-01-08
145.99,2019-01-09
147.04,2019-01-10
147.55,2019-01-11
146.05,2019-01-14
149.19,2019-01-15
148.54,2019-01-16
149.82,2019-01-17
152.51,2019-01-18
148.95,2019-01-22
149.75,2019-01-23
146.87,2019-01-24
149.74,2019-01-25
147.33,2019-01-28
145.18,2019-01-29
149.16,2019-01-30
151.97,2019-01-31
155.87,2019-02-01
157.72,2019-02-04
158.99,2019-02-05
158.13,2019-02-06
154.93,2019-02-07
156.67,2019-02-08
159.91,2019-02-11
162.79,2019-02-12
160.4,2019-02-13
159.47,2019-02-14
159.05,2019-02-15
160.61,2019-02-19
158.54,2019-02-20
159.63,2019-02-21
161.31,2019-02-22
161.36,2019-02-25
163.0,2019-02-26
163.12,2019-02-27
163.65,2019-02-28
164.53,2019-03-01
158.5,2019-03-04
156.97,2019-03-05
156.79,2019-03-06
155.6,2019-03-07
155.06,2019-03-08
157.65,2019-03-11
158.28,2019-03-12
159.81,2019-03-13
160.67,2019-03-14
161.51,2019-03-15
161.95,2019-03-18
163.93,2019-03-19
163.51,2019-03-20
166.95,2019-03-21
161.5,2019-03-22
160.88,2019-03-25
159.4,2019-03-26
155.12,2019-03-27
155.18,2019-03-28
158.37,2019-03-29
161.18,2019-04-01
160.51,2019-04-02
162.62,2019-04-03
158.52,2019-04-04
158.56,2019-04-05
158.47,2019-04-08
156.97,2019-04-09
160.24,2019-04-10
160.73,2019-04-11
160.71,2019-04-12
160.09,2019-04-15
158.69,2019-04-16
155.34,2019-04-17
155.99,2019-04-18
158.76,2019-04-22
161.23,2019-04-23
159.56,2019-04-24
163.09,2019-04-25
165.96,2019-04-26
165.36,2019-04-29
165.35,2019-04-30
162.15,2019-05-01
161.83,2019-05-02
163.34,2019-05-03
162.5,2019-05-06
156.9,2019-05-07
156.86,2019-05-08
156.31,2019-05-09
159.94,2019-05-10
153.15,2019-05-13
158.07,2019-05-14
155.06,2019-05-15
158.48,2019-05-16
154.57,2019-05-17
155.98,2019-05-20
155.78,2019-05-21
157.64,2019-05-22
153.71,2019-05-23
154.51,2019-05-24
155.19,2019-05-28
152.89,2019-05-29
155.66,2019-05-30
151.41,2019-05-31
145.1,2019-06-03
150.81,2019-06-04
158.44,2019-06-05
159.31,2019-06-06
161.27,2019-06-07
152.79,2019-06-10
150.15,2019-06-11
151.28,2019-06-12
151.34,2019-06-13
150.01,2019-06-14
150.29,2019-06-17
150.59,2019-06-18
154.14,2019-06-19
157.2,2019-06-20
156.84,2019-06-21
152.56,2019-06-24
149.34,2019-06-25
149.04,2019-06-26
150.69,2019-06-27
151.73,2019-06-28
154.06,2019-07-01
154.12,2019-07-02
155.59,2019-07-03
154.58,2019-07-05
152.81,2019-07-08
153.95,2019-07-09
156.27,2019-07-10
158.9,2019-07-11
158.08,2019-07-12
159.65,2019-07-15
157.13,2019-07-16
158.24,2019-07-17
157.98,2019-07-18
156.75,2019-07-19
157.7,2019-07-22
156.25,2019-07-23
159.75,2019-07-24
159.35,2019-07-25
159.97,2019-07-26
156.21,2019-07-29
156.96,2019-07-30
154.5,2019-07-31
150.81,2019-08-01
145.7,2019-08-02
142.82,2019-08-05
142.8,2019-08-06
141.64,2019-08-07
143.82,2019-08-08
143.37,2019-08-09
140.66,2019-08-12
143.88,2019-08-13
139.72,2019-08-14
142.13,2019-08-15
143.89,2019-08-16
143.67,2019-08-19
145.54,2019-08-20
147.38,2019-08-21
148.24,2019-08-22
151.57,2019-08-23
155.14,2019-08-26
153.57,2019-08-27
151.83,2019-08-28
155.93,2019-08-29
156.07,2019-08-30
152.73,2019-09-03
152.46,2019-09-04
153.77,2019-09-05
151.07,2019-09-06
149.54,2019-09-09
149.65,2019-09-10
154.09,2019-09-11
154.75,2019-09-12
152.98,2019-09-13
153.01,2019-09-16
152.82,2019-09-17
152.77,2019-09-18
153.6,2019-09-19
155.2,2019-09-20
154.65,2019-09-23
152.05,2019-09-24
