Adj Close,Date
21.11,2018-10-15
20.81,2018-10-16
19.99,2018-10-17
18.8,2018-10-18
18.68,2018-10-19
19.95,2018-10-22
18.51,2018-10-23
17.32,2018-10-24
18.56,2018-10-25
18.2,2018-10-26
17.37,2018-10-29
17.2,2018-10-30
17.65,2018-10-31
20.34,2018-11-01
20.37,2018-11-02
20.05,2018-11-05
19.64,2018-11-06
20.72,2018-11-07
19.28,2018-11-08
18.31,2018-11-09
17.22,2018-11-12
17.15,2018-11-13
19.15,2018-11-14
20.38,2018-11-15
20.83,2018-11-16
19.84,2018-11-19
23.14,2018-11-20
23.66,2018-11-21
22.5,2018-11-23
21.22,2018-11-26
22.45,2018-11-27
22.9,2018-11-28
22.44,2018-11-29
22.96,2018-11-30
23.97,2018-12-03
23.32,2018-12-04
22.54,2018-12-06
20.61,2018-12-07
20.11,2018-12-10
20.81,2018-12-11
22.65,2018-12-12
22.58,2018-12-13
23.1,2018-12-14
22.18,2018-12-17
23.0,2018-12-18
22.32,2018-12-19
21.49,2018-12-20
21.13,2018-12-21
21.3,2018-12-24
21.51,2018-12-26
21.9,2018-12-27
22.06,2018-12-28
22.44,2018-12-31
22.21,2019-01-02
21.52,2019-01-03
22.69,2019-01-04
23.21,2019-01-07
24.0,2019-01-08
25.54,2019-01-09
26.38,2019-01-10
26.16,2019-01-11
24.37,2019-01-14
24.41,2019-01-15
25.14,2019-01-16
24.54,2019-01-17
24.99,2019-01-18
25.17,2019-01-22
26.67,2019-01-23
28.74,2019-01-24
29.5,2019-01-25
29.0,2019-01-28
30.19,2019-01-29
28.82,2019-01-30
29.21,2019-01-31
28.96,2019-02-01
29.93,2019-02-04
30.33,2019-02-05
28.0,2019-02-06
26.51,2019-02-07
25.95,2019-02-08
26.74,2019-02-11
26.95,2019-02-12
27.01,2019-02-13
27.03,2019-02-14
27.52,2019-02-15
29.09,2019-02-19
29.33,2019-02-20
28.5,2019-02-21
29.38,2019-02-22
29.01,2019-02-25
29.14,2019-02-26
28.56,2019-02-27
29.94,2019-02-28
29.99,2019-03-01
31.14,2019-03-04
30.78,2019-03-05
29.99,2019-03-06
29.09,2019-03-07
28.46,2019-03-08
29.93,2019-03-11
30.43,2019-03-12
25.12,2019-03-13
24.39,2019-03-14
24.52,2019-03-15
25.83,2019-03-18
25.26,2019-03-19
24.61,2019-03-20
24.83,2019-03-21
23.5,2019-03-22
23.34,2019-03-25
23.36,2019-03-26
23.61,2019-03-27
23.32,2019-03-28
24.8,2019-03-29
24.67,2019-04-01
24.46,2019-04-02
23.51,2019-04-03
22.6,2019-04-04
21.6,2019-04-05
21.83,2019-04-08
22.35,2019-04-09
21.95,2019-04-10
21.67,2019-04-11
21.69,2019-04-12
22.01,2019-04-15
22.5,2019-04-16
23.02,2019-04-17
23.55,2019-04-18
24.0,2019-04-22
24.43,2019-04-23
23.94,2019-04-24
23.07,2019-04-25
21.92,2019-04-26
22.28,2019-04-29
22.23,2019-04-30
23.3,2019-05-01
23.13,2019-05-02
23.96,2019-05-03
23.74,2019-05-06
22.82,2019-05-07
23.19,2019-05-08
23.13,2019-05-09
22.4,2019-05-10
20.75,2019-05-13
22.15,2019-05-14
22.03,2019-05-15
22.86,2019-05-16
22.7,2019-05-17
20.78,2019-05-20
21.52,2019-05-21
20.46,2019-05-22
20.53,2019-05-23
20.28,2019-05-24
20.23,2019-05-28
19.98,2019-05-29
19.65,2019-05-30
19.42,2019-05-31
19.03,2019-06-03
19.28,2019-06-04
19.13,2019-06-05
19.37,2019-06-06
19.78,2019-06-07
20.2,2019-06-10
20.05,2019-06-11
20.41,2019-06-12
20.47,2019-06-13
20.51,2019-06-14
20.59,2019-06-17
20.89,2019-06-18
20.96,2019-06-19
20.95,2019-06-20
21.05,2019-06-21
20.75,2019-06-24
20.54,2019-06-25
20.45,2019-06-26
20.76,2019-06-27
20.63,2019-06-28
20.64,2019-07-01
20.31,2019-07-02
20.09,2019-07-03
20.29,2019-07-05
20.04,2019-07-08
20.48,2019-07-09
19.84,2019-07-10
19.34,2019-07-11
19.14,2019-07-12
19.35,2019-07-15
20.12,2019-07-16
19.97,2019-07-17
20.19,2019-07-18
20.05,2019-07-19
20.14,2019-07-22
20.99,2019-07-23
20.93,2019-07-24
21.51,2019-07-25
21.61,2019-07-26
21.91,2019-07-29
21.95,2019-07-30
22.27,2019-07-31
22.66,2019-08-01
22.99,2019-08-02
22.17,2019-08-05
21.96,2019-08-06
22.13,2019-08-07
22.81,2019-08-08
22.6,2019-08-09
22.36,2019-08-12
23.78,2019-08-13
23.56,2019-08-14
23.87,2019-08-15
25.01,2019-08-16
25.57,2019-08-19
25.96,2019-08-20
30.11,2019-08-21
30.59,2019-08-22
29.49,2019-08-23
30.61,2019-08-26
30.87,2019-08-27
30.93,2019-08-28
33.61,2019-08-29
32.77,2019-08-30
33.25,2019-09-03
34.0,2019-09-04
34.87,2019-09-05
34.98,2019-09-06
34.98,2019-09-09
34.85,2019-09-10
36.67,2019-09-11
36.15,2019-09-12
35.9,2019-09-13
34.73,2019-09-16
35.43,2019-09-17
34.37,2019-09-18
34.62,2019-09-19
34.08,2019-09-20
33.82,2019-09-23
30.99,2019-09-24
32.25,2019-09-25
32.65,2019-09-26
31.28,2019-09-27
32.22,2019-09-30
32.75,2019-10-01
32.59,2019-10-02
32.95,2019-10-03
33.35,2019-10-04
31.67,2019-10-07
31.25,2019-10-08
31.78,2019-10-09
31.94,2019-10-10
32.86,2019-10-11
32.84,2019-10-14
33.94,2019-10-15
33.74,2019-10-16
34.2,2019-10-17
33.38,2019-10-18
34.0,2019-10-21
34.37,2019-10-22
35.5,2019-10-23
39.96,2019-10-24
40.84,2019-10-25
42.58,2019-10-28
40.5,2019-10-29
40.88,2019-10-30
40.88,2019-10-31
41.49,2019-11-01
42.53,2019-11-04
43.53,2019-11-05
43.49,2019-11-06
43.31,2019-11-07
43.23,2019-11-08
41.92,2019-11-11
41.57,2019-11-12
41.69,2019-11-13
41.32,2019-11-14
42.76,2019-11-15
41.51,2019-11-18
40.72,2019-11-19
31.4,2019-11-20
31.58,2019-11-21
33.99,2019-11-22
36.52,2019-11-25
36.98,2019-11-26
35.86,2019-11-27
35.95,2019-11-29
36.04,2019-12-02
36.17,2019-12-03
35.85,2019-12-04
36.58,2019-12-05
37.52,2019-12-06
37.52,2019-12-09
38.13,2019-12-10
37.31,2019-12-11
38.09,2019-12-12
36.46,2019-12-13
38.68,2019-12-16
38.71,2019-12-17
37.72,2019-12-18
37.52,2019-12-19
37.36,2019-12-20
37.89,2019-12-23
38.04,2019-12-24
38.57,2019-12-26
39.24,2019-12-27
38.15,2019-12-30
37.82,2019-12-31
41.23,2020-01-02
40.89,2020-01-03
40.09,2020-01-06
41.21,2020-01-07
40.5,2020-01-08
39.66,2020-01-09
38.42,2020-01-10
39.35,2020-01-13
38.02,2020-01-14
38.67,2020-01-15
39.51,2020-01-16
39.43,2020-01-17
39.34,2020-01-21
38.86,2020-01-22
38.37,2020-01-23
37.34,2020-01-24
36.59,2020-01-27
36.96,2020-01-28
36.74,2020-01-29
35.93,2020-01-30
35.22,2020-01-31
35.79,2020-02-03
36.51,2020-02-04
35.72,2020-02-05
36.38,2020-02-06
34.28,2020-02-07
34.5,2020-02-10
36.0,2020-02-11
36.81,2020-02-12
37.42,2020-02-13
37.12,2020-02-14
36.44,2020-02-18
37.13,2020-02-19
36.335,2020-02-20
34.57,2020-02-21
33.14,2020-02-24
32.8,2020-02-25
34.53,2020-02-26
35.18,2020-02-27
35.78,2020-02-28
37.51,2020-03-02
35.79,2020-03-03
36.29,2020-03-04
36.12,2020-03-05
36.76,2020-03-06
36.51,2020-03-09
37.69,2020-03-10
35.06,2020-03-11
32.81,2020-03-12
33.76,2020-03-13
32.19,2020-03-16
33.39,2020-03-17
31.77,2020-03-18
33.8,2020-03-19
33.57,2020-03-20
34.1,2020-03-23
36.05,2020-03-24
37.26,2020-03-25
37.01,2020-03-26
35.32,2020-03-27
35.63,2020-03-30
36.03,2020-03-31
35.9,2020-04-01
36.28,2020-04-02
36.9,2020-04-03
38.49,2020-04-06
40.63,2020-04-07
39.71,2020-04-08
41.04,2020-04-09
41.42,2020-04-13
43.03,2020-04-14
43.89,2020-04-15
45.12,2020-04-16
44.46,2020-04-17
50.11,2020-04-20
50.94,2020-04-21
52.15,2020-04-22
49.17,2020-04-23
49.57,2020-04-24
51.19,2020-04-27
48.06,2020-04-28
48.86,2020-04-29
47.44,2020-04-30
45.43,2020-05-01
46.37,2020-05-04
48.72,2020-05-05
49.2,2020-05-06
50.05,2020-05-07
54.6,2020-05-08
54.94,2020-05-11
57.83,2020-05-12
59.83,2020-05-13
60.84,2020-05-14
61.3,2020-05-15
66.46,2020-05-18
63.09,2020-05-19
60.9,2020-05-20
60.0,2020-05-21
68.7,2020-05-22
64.89,2020-05-26
60.32,2020-05-27
60.36,2020-05-28
66.87,2020-05-29
65.76,2020-06-01
67.3,2020-06-02
68.15,2020-06-03
66.27,2020-06-04
69.7,2020-06-05
68.31,2020-06-08
69.38,2020-06-09
72.8,2020-06-10
71.51,2020-06-11
73.11,2020-06-12
77.67,2020-06-15
78.0,2020-06-16
82.8,2020-06-17
82.42,2020-06-18
87.58,2020-06-19
81.79,2020-06-22
83.64,2020-06-23
84.5,2020-06-24
86.0,2020-06-25
85.16,2020-06-26
87.47,2020-06-29
85.84,2020-06-30
85.45,2020-07-01
93.0,2020-07-02
87.0,2020-07-06
91.0,2020-07-07
92.31,2020-07-08
90.25,2020-07-09
87.3,2020-07-10
88.28,2020-07-13
87.33,2020-07-14
85.3,2020-07-15
83.55,2020-07-16
82.47,2020-07-17
84.83,2020-07-20
82.58,2020-07-21
80.76,2020-07-22
79.05,2020-07-23
78.95,2020-07-24
83.44,2020-07-27
83.77,2020-07-28
84.03,2020-07-29
84.94,2020-07-30
91.8,2020-07-31
96.03,2020-08-03
