Adj Close,Date
144.16,2018-10-15
149.6,2018-10-16
148.14,2018-10-17
142.02,2018-10-18
142.93,2018-10-19
148.8,2018-10-22
146.65,2018-10-23
139.61,2018-10-24
144.6,2018-10-25
142.87,2018-10-26
133.38,2018-10-29
136.33,2018-10-30
142.28,2018-10-31
151.25,2018-11-01
147.59,2018-11-02
144.64,2018-11-05
147.44,2018-11-06
152.5,2018-11-07
148.99,2018-11-08
144.85,2018-11-09
142.82,2018-11-12
146.98,2018-11-13
150.44,2018-11-14
156.22,2018-11-15
154.1,2018-11-16
149.53,2018-11-19
145.98,2018-11-20
149.41,2018-11-21
150.33,2018-11-23
156.01,2018-11-26
156.46,2018-11-27
159.34,2018-11-28
156.28,2018-11-29
160.86,2018-11-30
163.74,2018-12-03
158.34,2018-12-04
155.83,2018-12-06
153.06,2018-12-07
151.43,2018-12-10
151.83,2018-12-11
151.5,2018-12-12
151.48,2018-12-13
149.0,2018-12-14
143.98,2018-12-17
140.82,2018-12-18
137.14,2018-12-19
135.11,2018-12-20
132.0,2018-12-21
131.89,2018-12-24
138.0,2018-12-26
138.45,2018-12-27
139.09,2018-12-28
137.07,2018-12-31
136.7,2019-01-02
130.6,2019-01-03
139.75,2019-01-04
143.1,2019-01-07
146.79,2019-01-08
151.92,2019-01-09
151.69,2019-01-10
151.32,2019-01-11
149.27,2019-01-14
150.88,2019-01-15
154.84,2019-01-16
155.97,2019-01-17
157.02,2019-01-18
152.15,2019-01-22
152.03,2019-01-23
155.86,2019-01-24
159.21,2019-01-25
158.92,2019-01-28
156.88,2019-01-29
166.82,2019-01-30
168.49,2019-01-31
167.97,2019-02-01
166.7,2019-02-04
171.83,2019-02-05
171.52,2019-02-06
166.96,2019-02-07
167.36,2019-02-08
167.45,2019-02-11
168.71,2019-02-12
169.4,2019-02-13
168.38,2019-02-14
166.15,2019-02-15
170.18,2019-02-19
170.71,2019-02-20
171.66,2019-02-21
176.92,2019-02-22
183.25,2019-02-25
183.54,2019-02-26
184.58,2019-02-27
183.03,2019-02-28
183.88,2019-03-01
187.25,2019-03-04
185.0,2019-03-05
184.17,2019-03-06
177.32,2019-03-07
175.03,2019-03-08
180.41,2019-03-11
180.63,2019-03-12
180.7,2019-03-13
180.36,2019-03-14
180.97,2019-03-15
181.83,2019-03-18
182.14,2019-03-19
181.28,2019-03-20
181.5,2019-03-21
176.26,2019-03-22
178.77,2019-03-25
178.08,2019-03-26
177.03,2019-03-27
177.73,2019-03-28
182.45,2019-03-29
180.89,2019-04-01
181.74,2019-04-02
178.32,2019-04-03
181.07,2019-04-04
185.35,2019-04-05
186.5,2019-04-08
187.19,2019-04-09
186.19,2019-04-10
184.98,2019-04-11
188.91,2019-04-12
183.07,2019-04-15
185.78,2019-04-16
187.55,2019-04-17
186.94,2019-04-18
185.38,2019-04-22
187.29,2019-04-23
185.67,2019-04-24
187.88,2019-04-25
187.09,2019-04-26
186.94,2019-04-29
185.57,2019-04-30
189.31,2019-05-01
190.39,2019-05-02
195.21,2019-05-03
188.24,2019-05-06
181.43,2019-05-07
179.59,2019-05-08
179.04,2019-05-09
178.0,2019-05-10
170.01,2019-05-13
174.84,2019-05-14
177.6,2019-05-15
175.57,2019-05-16
169.57,2019-05-17
160.65,2019-05-20
163.43,2019-05-21
158.83,2019-05-22
156.0,2019-05-23
155.0,2019-05-24
154.81,2019-05-28
152.48,2019-05-29
151.07,2019-05-30
149.26,2019-05-31
149.91,2019-06-03
154.15,2019-06-04
151.65,2019-06-05
151.5,2019-06-06
154.23,2019-06-07
159.85,2019-06-10
162.65,2019-06-11
160.04,2019-06-12
160.33,2019-06-13
158.1,2019-06-14
159.91,2019-06-17
165.51,2019-06-18
165.46,2019-06-19
168.25,2019-06-20
167.55,2019-06-21
168.1,2019-06-24
165.8,2019-06-25
168.99,2019-06-26
170.9,2019-06-27
169.45,2019-06-28
175.05,2019-07-01
175.45,2019-07-02
174.67,2019-07-03
173.3,2019-07-05
168.45,2019-07-08
168.8,2019-07-09
166.93,2019-07-10
166.55,2019-07-11
169.07,2019-07-12
173.5,2019-07-15
174.19,2019-07-16
174.82,2019-07-17
172.8,2019-07-18
172.99,2019-07-19
174.0,2019-07-22
178.09,2019-07-23
178.67,2019-07-24
177.29,2019-07-25
178.74,2019-07-26
177.02,2019-07-29
174.1,2019-07-30
173.11,2019-07-31
165.65,2019-08-01
161.0,2019-08-02
153.67,2019-08-05
157.43,2019-08-06
159.17,2019-08-07
162.22,2019-08-08
159.12,2019-08-09
159.18,2019-08-12
164.03,2019-08-13
162.06,2019-08-14
166.97,2019-08-15
174.6,2019-08-16
178.28,2019-08-19
177.21,2019-08-20
175.24,2019-08-21
171.91,2019-08-22
164.54,2019-08-23
165.9,2019-08-26
166.2,2019-08-27
167.48,2019-08-28
172.81,2019-08-29
175.03,2019-08-30
172.41,2019-09-03
174.33,2019-09-04
178.94,2019-09-05
176.69,2019-09-06
177.78,2019-09-09
174.99,2019-09-10
176.09,2019-09-11
178.24,2019-09-12
179.17,2019-09-13
177.07,2019-09-16
179.0,2019-09-17
180.0,2019-09-18
180.46,2019-09-19
182.51,2019-09-20
176.98,2019-09-23
171.55,2019-09-24
176.66,2019-09-25
175.0,2019-09-26
165.98,2019-09-27
167.23,2019-09-30
165.15,2019-10-01
165.77,2019-10-02
169.48,2019-10-03
170.34,2019-10-04
168.32,2019-10-07
161.93,2019-10-08
165.19,2019-10-09
166.07,2019-10-10
172.94,2019-10-11
171.16,2019-10-14
175.29,2019-10-15
177.12,2019-10-16
176.85,2019-10-17
169.13,2019-10-18
173.52,2019-10-21
169.89,2019-10-22
169.92,2019-10-23
172.55,2019-10-24
174.31,2019-10-25
178.68,2019-10-28
176.89,2019-10-29
177.53,2019-10-30
176.67,2019-10-31
176.46,2019-11-01
179.69,2019-11-04
182.0,2019-11-05
184.16,2019-11-06
186.66,2019-11-07
187.16,2019-11-08
186.71,2019-11-11
186.97,2019-11-12
182.48,2019-11-13
182.8,2019-11-14
185.49,2019-11-15
184.61,2019-11-18
185.25,2019-11-19
182.35,2019-11-20
184.86,2019-11-21
186.78,2019-11-22
190.45,2019-11-25
194.7,2019-11-26
200.82,2019-11-27
200.0,2019-11-29
196.31,2019-12-02
194.9,2019-12-03
193.74,2019-12-04
200.0,2019-12-05
201.89,2019-12-06
198.74,2019-12-09
200.45,2019-12-10
204.64,2019-12-11
204.5,2019-12-12
204.91,2019-12-13
206.97,2019-12-16
208.18,2019-12-17
210.0,2019-12-18
210.13,2019-12-19
212.25,2019-12-20
214.83,2019-12-23
214.26,2019-12-24
216.38,2019-12-26
215.47,2019-12-27
212.91,2019-12-30
212.1,2019-12-31
219.77,2020-01-02
217.0,2020-01-03
216.64,2020-01-06
217.63,2020-01-07
218.0,2020-01-08
221.78,2020-01-09
223.83,2020-01-10
230.48,2020-01-13
226.49,2020-01-14
225.06,2020-01-15
223.94,2020-01-16
227.43,2020-01-17
222.26,2020-01-21
222.37,2020-01-22
219.13,2020-01-23
213.75,2020-01-24
205.47,2020-01-27
210.23,2020-01-28
212.02,2020-01-29
208.58,2020-01-30
206.59,2020-01-31
213.1,2020-02-03
222.88,2020-02-04
220.22,2020-02-05
220.9,2020-02-06
216.53,2020-02-07
215.77,2020-02-10
217.21,2020-02-11
224.31,2020-02-12
220.36,2020-02-13
219.63,2020-02-14
220.52,2020-02-18
222.14,2020-02-19
218.04,2020-02-20
212.59,2020-02-21
206.16,2020-02-24
205.61,2020-02-25
208.74,2020-02-26
205.03,2020-02-27
208.0,2020-02-28
210.98,2020-03-02
207.41,2020-03-03
211.96,2020-03-04
211.46,2020-03-05
204.64,2020-03-06
194.96,2020-03-09
206.39,2020-03-10
198.91,2020-03-11
185.1,2020-03-12
194.0,2020-03-13
177.37,2020-03-16
184.81,2020-03-17
174.32,2020-03-18
180.88,2020-03-19
181.3,2020-03-20
176.34,2020-03-23
185.75,2020-03-24
188.56,2020-03-25
195.32,2020-03-26
188.59,2020-03-27
191.27,2020-03-30
194.48,2020-03-31
187.56,2020-04-01
188.9,2020-04-02
187.11,2020-04-03
196.45,2020-04-06
198.0,2020-04-07
195.98,2020-04-08
196.37,2020-04-09
199.44,2020-04-13
204.78,2020-04-14
208.17,2020-04-15
212.66,2020-04-16
209.5,2020-04-17
212.13,2020-04-20
207.34,2020-04-21
209.96,2020-04-22
205.24,2020-04-23
204.36,2020-04-24
203.69,2020-04-27
201.15,2020-04-28
206.7,2020-04-29
202.67,2020-04-30
194.48,2020-05-01
191.15,2020-05-04
195.02,2020-05-05
195.17,2020-05-06
196.49,2020-05-07
201.19,2020-05-08
205.4,2020-05-11
200.31,2020-05-12
199.46,2020-05-13
201.3,2020-05-14
203.68,2020-05-15
215.28,2020-05-18
217.2,2020-05-19
216.79,2020-05-20
212.16,2020-05-21
199.7,2020-05-22
201.72,2020-05-26
201.18,2020-05-27
199.49,2020-05-28
207.39,2020-05-29
206.57,2020-06-01
214.33,2020-06-02
218.61,2020-06-03
218.04,2020-06-04
219.55,2020-06-05
219.0,2020-06-08
220.72,2020-06-09
223.68,2020-06-10
215.24,2020-06-11
217.64,2020-06-12
217.03,2020-06-15
222.62,2020-06-16
224.25,2020-06-17
223.54,2020-06-18
220.64,2020-06-19
221.41,2020-06-22
228.75,2020-06-23
226.22,2020-06-24
222.16,2020-06-25
215.71,2020-06-26
215.02,2020-06-29
215.7,2020-06-30
215.95,2020-07-01
223.6,2020-07-02
240.0,2020-07-06
236.51,2020-07-07
257.68,2020-07-08
261.58,2020-07-09
261.01,2020-07-10
251.67,2020-07-13
248.58,2020-07-14
249.21,2020-07-15
242.5,2020-07-16
247.14,2020-07-17
254.81,2020-07-20
257.9,2020-07-21
251.7,2020-07-22
251.88,2020-07-23
249.0,2020-07-24
250.86,2020-07-27
249.05,2020-07-28
252.45,2020-07-29
252.74,2020-07-30
251.02,2020-07-31
257.94,2020-08-03
262.2,2020-08-04
