Adj Close,Date
115.63,2018-10-15
118.04,2018-10-16
117.73,2018-10-17
116.67,2018-10-18
116.32,2018-10-19
117.1,2018-10-22
117.97,2018-10-23
114.57,2018-10-24
116.66,2018-10-25
117.3,2018-10-26
115.31,2018-10-29
116.24,2018-10-30
117.05,2018-10-31
117.7,2018-11-01
115.46,2018-11-02
115.41,2018-11-05
117.58,2018-11-06
119.31,2018-11-07
117.29,2018-11-08
117.24,2018-11-09
115.57,2018-11-12
115.11,2018-11-13
116.88,2018-11-14
117.0,2018-11-15
116.96,2018-11-16
117.14,2018-11-19
117.29,2018-11-20
119.25,2018-11-21
119.71,2018-11-23
121.27,2018-11-26
121.0,2018-11-27
121.58,2018-11-28
121.78,2018-11-29
121.48,2018-11-30
123.51,2018-12-03
120.88,2018-12-04
121.83,2018-12-06
119.97,2018-12-07
120.94,2018-12-10
120.41,2018-12-11
121.89,2018-12-12
120.78,2018-12-13
120.1,2018-12-14
119.55,2018-12-17
120.01,2018-12-18
119.38,2018-12-19
118.45,2018-12-20
113.96,2018-12-21
111.81,2018-12-24
113.72,2018-12-26
115.48,2018-12-27
116.34,2018-12-28
116.08,2018-12-31
116.28,2019-01-02
114.65,2019-01-03
119.73,2019-01-04
121.28,2019-01-07
122.31,2019-01-08
122.92,2019-01-09
124.49,2019-01-10
125.07,2019-01-11
125.39,2019-01-14
126.28,2019-01-15
125.66,2019-01-16
124.92,2019-01-17
125.35,2019-01-18
123.6,2019-01-22
122.47,2019-01-23
122.83,2019-01-24
123.72,2019-01-25
122.48,2019-01-28
122.27,2019-01-29
123.04,2019-01-30
123.17,2019-01-31
122.0,2019-02-01
122.9,2019-02-04
123.47,2019-02-05
121.05,2019-02-06
118.11,2019-02-07
117.31,2019-02-08
117.15,2019-02-11
119.78,2019-02-12
119.63,2019-02-13
119.25,2019-02-14
121.15,2019-02-15
121.49,2019-02-19
122.79,2019-02-20
121.24,2019-02-21
121.82,2019-02-22
122.41,2019-02-25
123.23,2019-02-26
122.32,2019-02-27
121.04,2019-02-28
120.34,2019-03-01
118.42,2019-03-04
118.26,2019-03-05
117.98,2019-03-06
117.24,2019-03-07
117.71,2019-03-08
119.13,2019-03-11
118.76,2019-03-12
119.31,2019-03-13
117.7,2019-03-14
118.97,2019-03-15
119.51,2019-03-18
119.73,2019-03-19
119.67,2019-03-20
120.44,2019-03-21
120.22,2019-03-22
120.49,2019-03-25
121.77,2019-03-26
121.03,2019-03-27
119.07,2019-03-28
118.02,2019-03-29
119.88,2019-04-01
120.65,2019-04-02
121.07,2019-04-03
122.08,2019-04-04
122.54,2019-04-05
122.24,2019-04-08
122.06,2019-04-09
122.18,2019-04-10
121.04,2019-04-11
122.4,2019-04-12
121.97,2019-04-15
121.75,2019-04-16
124.08,2019-04-17
125.16,2019-04-18
124.16,2019-04-22
124.94,2019-04-23
122.88,2019-04-24
123.19,2019-04-25
123.62,2019-04-26
123.81,2019-04-29
123.6,2019-04-30
122.92,2019-05-01
122.59,2019-05-02
