Adj Close,Date
153.52,2018-10-15
158.78,2018-10-16
159.42,2018-10-17
154.92,2018-10-18
154.05,2018-10-19
154.78,2018-10-22
154.39,2018-10-23
146.04,2018-10-24
150.95,2018-10-25
145.37,2018-10-26
142.09,2018-10-29
146.22,2018-10-30
151.79,2018-10-31
151.75,2018-11-01
150.35,2018-11-02
148.68,2018-11-05
149.94,2018-11-06
151.53,2018-11-07
147.87,2018-11-08
144.96,2018-11-09
141.55,2018-11-12
142.16,2018-11-13
144.22,2018-11-14
143.85,2018-11-15
139.53,2018-11-16
131.55,2018-11-19
132.43,2018-11-20
134.75,2018-11-21
131.73,2018-11-23
136.38,2018-11-26
135.0,2018-11-27
136.76,2018-11-28
138.68,2018-11-29
140.61,2018-11-30
141.09,2018-12-03
137.93,2018-12-04
139.63,2018-12-06
137.42,2018-12-07
141.85,2018-12-10
142.08,2018-12-11
144.5,2018-12-12
145.02,2018-12-13
144.06,2018-12-14
140.19,2018-12-17
143.66,2018-12-18
133.25,2018-12-19
133.4,2018-12-20
124.95,2018-12-21
123.92,2018-12-24
134.18,2018-12-26
134.52,2018-12-27
133.2,2018-12-28
131.09,2018-12-31
135.68,2019-01-02
131.74,2019-01-03
137.95,2019-01-04
138.05,2019-01-07
142.55,2019-01-08
144.23,2019-01-09
144.2,2019-01-10
143.8,2019-01-11
145.39,2019-01-14
148.95,2019-01-15
147.54,2019-01-16
148.3,2019-01-17
150.04,2019-01-18
147.57,2019-01-22
144.3,2019-01-23
145.83,2019-01-24
149.01,2019-01-25
147.47,2019-01-28
144.19,2019-01-29
150.42,2019-01-30
166.69,2019-01-31
165.71,2019-02-01
169.25,2019-02-04
171.16,2019-02-05
170.49,2019-02-06
166.38,2019-02-07
167.33,2019-02-08
165.79,2019-02-11
165.04,2019-02-12
164.07,2019-02-13
163.95,2019-02-14
162.5,2019-02-15
162.29,2019-02-19
162.56,2019-02-20
160.04,2019-02-21
161.89,2019-02-22
164.62,2019-02-25
164.13,2019-02-26
162.81,2019-02-27
161.45,2019-02-28
162.28,2019-03-01
167.37,2019-03-04
171.26,2019-03-05
172.51,2019-03-06
169.13,2019-03-07
169.6,2019-03-08
172.07,2019-03-11
171.92,2019-03-12
173.37,2019-03-13
170.17,2019-03-14
165.98,2019-03-15
160.47,2019-03-18
161.57,2019-03-19
165.44,2019-03-20
166.08,2019-03-21
164.34,2019-03-22
166.29,2019-03-25
167.68,2019-03-26
165.87,2019-03-27
165.55,2019-03-28
166.69,2019-03-29
168.7,2019-04-01
174.2,2019-04-02
173.54,2019-04-03
176.02,2019-04-04
175.72,2019-04-05
174.93,2019-04-08
177.58,2019-04-09
177.82,2019-04-10
177.51,2019-04-11
179.1,2019-04-12
179.65,2019-04-15
178.87,2019-04-16
178.78,2019-04-17
178.28,2019-04-18
181.44,2019-04-22
183.78,2019-04-23
182.58,2019-04-24
193.26,2019-04-25
191.49,2019-04-26
194.78,2019-04-29
193.4,2019-04-30
193.03,2019-05-01
192.53,2019-05-02
195.47,2019-05-03
193.88,2019-05-06
189.77,2019-05-07
189.54,2019-05-08
188.65,2019-05-09
188.34,2019-05-10
181.54,2019-05-13
180.73,2019-05-14
186.27,2019-05-15
186.99,2019-05-16
185.3,2019-05-17
182.72,2019-05-20
184.82,2019-05-21
185.32,2019-05-22
180.87,2019-05-23
181.06,2019-05-24
184.31,2019-05-28
182.19,2019-05-29
183.01,2019-05-30
177.47,2019-05-31
164.15,2019-06-03
167.5,2019-06-04
168.17,2019-06-05
168.33,2019-06-06
173.35,2019-06-07
174.82,2019-06-10
178.1,2019-06-11
175.04,2019-06-12
177.47,2019-06-13
181.33,2019-06-14
189.01,2019-06-17
188.47,2019-06-18
187.48,2019-06-19
189.53,2019-06-20
191.14,2019-06-21
192.6,2019-06-24
188.84,2019-06-25
187.66,2019-06-26
189.5,2019-06-27
193.02,2019-06-28
193.0,2019-07-01
195.0,2019-07-02
197.2,2019-07-03
196.4,2019-07-05
195.76,2019-07-08
199.21,2019-07-09
202.73,2019-07-10
201.23,2019-07-11
204.87,2019-07-12
203.91,2019-07-15
203.84,2019-07-16
201.8,2019-07-17
200.78,2019-07-18
198.36,2019-07-19
202.32,2019-07-22
202.36,2019-07-23
204.66,2019-07-24
200.71,2019-07-25
199.75,2019-07-26
195.94,2019-07-29
197.04,2019-07-30
194.23,2019-07-31
192.73,2019-08-01
189.02,2019-08-02
181.73,2019-08-05
184.51,2019-08-06
185.15,2019-08-07
190.16,2019-08-08
187.85,2019-08-09
185.37,2019-08-12
188.45,2019-08-13
179.71,2019-08-14
182.59,2019-08-15
183.7,2019-08-16
186.17,2019-08-19
183.81,2019-08-20
183.55,2019-08-21
182.04,2019-08-22
177.75,2019-08-23
180.36,2019-08-26
181.3,2019-08-27
181.76,2019-08-28
185.57,2019-08-29
185.67,2019-08-30
182.39,2019-09-03
187.14,2019-09-04
190.9,2019-09-05
187.49,2019-09-06
188.76,2019-09-09
186.17,2019-09-10
188.49,2019-09-11
187.47,2019-09-12
187.19,2019-09-13
186.22,2019-09-16
188.08,2019-09-17
188.14,2019-09-18
190.14,2019-09-19
189.93,2019-09-20
186.82,2019-09-23
181.28,2019-09-24
182.8,2019-09-25
180.11,2019-09-26
177.1,2019-09-27
178.08,2019-09-30
175.81,2019-10-01
174.6,2019-10-02
179.38,2019-10-03
180.45,2019-10-04
179.68,2019-10-07
177.75,2019-10-08
179.85,2019-10-09
180.03,2019-10-10
184.19,2019-10-11
183.28,2019-10-14
188.89,2019-10-15
189.55,2019-10-16
190.39,2019-10-17
185.85,2019-10-18
189.76,2019-10-21
182.34,2019-10-22
186.19,2019-10-23
186.38,2019-10-24
187.89,2019-10-25
189.4,2019-10-28
189.31,2019-10-29
188.25,2019-10-30
191.65,2019-10-31
193.62,2019-11-01
194.72,2019-11-04
194.32,2019-11-05
191.55,2019-11-06
190.42,2019-11-07
190.84,2019-11-08
189.61,2019-11-11
194.47,2019-11-12
193.19,2019-11-13
193.15,2019-11-14
195.1,2019-11-15
197.4,2019-11-18
199.32,2019-11-19
197.51,2019-11-20
197.93,2019-11-21
198.82,2019-11-22
199.79,2019-11-25
198.97,2019-11-26
202.0,2019-11-27
201.64,2019-11-29
199.7,2019-12-02
198.82,2019-12-03
198.71,2019-12-04
199.36,2019-12-05
201.05,2019-12-06
201.34,2019-12-09
200.87,2019-12-10
202.26,2019-12-11
196.75,2019-12-12
194.11,2019-12-13
197.92,2019-12-16
198.39,2019-12-17
202.5,2019-12-18
206.06,2019-12-19
206.3,2019-12-20
206.18,2019-12-23
205.12,2019-12-24
207.79,2019-12-26
208.1,2019-12-27
204.41,2019-12-30
205.25,2019-12-31
209.78,2020-01-02
208.67,2020-01-03
212.6,2020-01-06
213.06,2020-01-07
215.22,2020-01-08
218.3,2020-01-09
218.06,2020-01-10
221.91,2020-01-13
219.06,2020-01-14
221.15,2020-01-15
221.77,2020-01-16
222.14,2020-01-17
221.44,2020-01-21
221.32,2020-01-22
219.76,2020-01-23
217.95,2020-01-24
