Adj Close,Date
333.13,2018-10-15
346.4,2018-10-16
364.7,2018-10-17
346.71,2018-10-18
332.67,2018-10-19
329.54,2018-10-22
333.16,2018-10-23
301.83,2018-10-24
312.87,2018-10-25
299.83,2018-10-26
284.97,2018-10-29
285.81,2018-10-30
301.78,2018-10-31
317.38,2018-11-01
309.1,2018-11-02
315.44,2018-11-05
310.84,2018-11-06
327.5,2018-11-07
317.92,2018-11-08
303.47,2018-11-09
294.07,2018-11-12
294.4,2018-11-13
286.73,2018-11-14
290.06,2018-11-15
286.21,2018-11-16
270.6,2018-11-19
266.98,2018-11-20
262.13,2018-11-21
258.82,2018-11-23
261.43,2018-11-26
266.63,2018-11-27
282.65,2018-11-28
288.75,2018-11-29
286.13,2018-11-30
290.3,2018-12-03
275.33,2018-12-04
282.88,2018-12-06
265.14,2018-12-07
269.7,2018-12-10
265.32,2018-12-11
274.88,2018-12-12
276.02,2018-12-13
266.84,2018-12-14
262.8,2018-12-17
270.94,2018-12-18
266.77,2018-12-19
260.58,2018-12-20
246.39,2018-12-21
233.88,2018-12-24
253.67,2018-12-26
255.565,2018-12-27
256.08,2018-12-28
267.66,2018-12-31
267.66,2019-01-02
271.2,2019-01-03
297.57,2019-01-04
315.34,2019-01-07
320.27,2019-01-08
319.96,2019-01-09
324.66,2019-01-10
337.59,2019-01-11
332.94,2019-01-14
354.64,2019-01-15
351.39,2019-01-16
353.19,2019-01-17
339.1,2019-01-18
325.16,2019-01-22
321.99,2019-01-23
326.67,2019-01-24
338.05,2019-01-25
335.66,2019-01-28
328.9,2019-01-29
340.66,2019-01-30
339.5,2019-01-31
339.85,2019-02-01
351.34,2019-02-04
355.81,2019-02-05
352.19,2019-02-06
344.71,2019-02-07
347.57,2019-02-08
345.73,2019-02-11
359.97,2019-02-12
351.77,2019-02-13
359.07,2019-02-14
356.87,2019-02-15
361.92,2019-02-19
359.91,2019-02-20
356.97,2019-02-21
363.02,2019-02-22
363.91,2019-02-25
364.97,2019-02-26
362.87,2019-02-27
358.1,2019-02-28
357.32,2019-03-01
351.04,2019-03-04
354.3,2019-03-05
359.61,2019-03-06
352.6,2019-03-07
349.6,2019-03-08
358.86,2019-03-11
356.27,2019-03-12
361.21,2019-03-13
358.82,2019-03-14
361.46,2019-03-15
363.47,2019-03-18
358.78,2019-03-19
375.22,2019-03-20
377.87,2019-03-21
361.01,2019-03-22
366.23,2019-03-25
359.97,2019-03-26
353.37,2019-03-27
354.61,2019-03-28
356.56,2019-03-29
366.96,2019-04-01
367.72,2019-04-02
369.75,2019-04-03
367.88,2019-04-04
365.49,2019-04-05
361.41,2019-04-08
364.71,2019-04-09
363.92,2019-04-10
367.65,2019-04-11
351.14,2019-04-12
348.87,2019-04-15
359.46,2019-04-16
354.74,2019-04-17
360.35,2019-04-18
377.34,2019-04-22
381.89,2019-04-23
374.23,2019-04-24
368.33,2019-04-25
374.85,2019-04-26
371.83,2019-04-29
370.54,2019-04-30
378.81,2019-05-01
379.06,2019-05-02
385.03,2019-05-03
378.67,2019-05-06
370.46,2019-05-07
364.37,2019-05-08
362.75,2019-05-09
361.04,2019-05-10
345.26,2019-05-13
345.61,2019-05-14
354.99,2019-05-15
359.31,2019-05-16
354.45,2019-05-17
348.11,2019-05-20
354.27,2019-05-21
359.73,2019-05-22
352.21,2019-05-23
354.39,2019-05-24
354.78,2019-05-28
349.19,2019-05-29
351.85,2019-05-30
343.28,2019-05-31
336.63,2019-06-03
353.4,2019-06-04
355.73,2019-06-05
357.13,2019-06-06
360.87,2019-06-07
352.01,2019-06-10
351.27,2019-06-11
345.56,2019-06-12
343.43,2019-06-13
339.73,2019-06-14
350.62,2019-06-17
357.12,2019-06-18
363.52,2019-06-19
365.21,2019-06-20
369.21,2019-06-21
371.04,2019-06-24
360.3,2019-06-25
362.2,2019-06-26
370.02,2019-06-27
367.32,2019-06-28
374.6,2019-07-01
375.43,2019-07-02
381.72,2019-07-03
380.55,2019-07-05
376.16,2019-07-08
379.93,2019-07-09
381.0,2019-07-10
379.5,2019-07-11
373.25,2019-07-12
366.6,2019-07-15
365.99,2019-07-16
362.44,2019-07-17
325.21,2019-07-18
315.1,2019-07-19
