Adj Close,Date
26.26,2018-10-15
28.18,2018-10-16
27.3,2018-10-17
26.62,2018-10-18
23.66,2018-10-19
25.03,2018-10-22
25.09,2018-10-23
22.79,2018-10-24
19.27,2018-10-25
17.63,2018-10-26
16.85,2018-10-29
17.2,2018-10-30
18.21,2018-10-31
20.22,2018-11-01
20.23,2018-11-02
19.9,2018-11-05
20.68,2018-11-06
21.84,2018-11-07
21.2,2018-11-08
21.03,2018-11-09
19.03,2018-11-12
19.61,2018-11-13
20.81,2018-11-14
21.49,2018-11-15
20.66,2018-11-16
19.11,2018-11-19
19.21,2018-11-20
18.72,2018-11-21
19.38,2018-11-23
20.08,2018-11-26
21.05,2018-11-27
21.34,2018-11-28
21.43,2018-11-29
21.3,2018-11-30
23.71,2018-12-03
21.12,2018-12-04
21.3,2018-12-06
19.46,2018-12-07
19.99,2018-12-10
19.98,2018-12-11
20.48,2018-12-12
19.86,2018-12-13
19.9,2018-12-14
18.83,2018-12-17
19.5,2018-12-18
18.16,2018-12-19
17.94,2018-12-20
16.93,2018-12-21
16.65,2018-12-24
17.9,2018-12-26
17.49,2018-12-27
17.82,2018-12-28
18.46,2018-12-31
18.83,2019-01-02
17.045,2019-01-03
19.0,2019-01-04
20.57,2019-01-07
20.75,2019-01-08
20.19,2019-01-09
19.74,2019-01-10
20.27,2019-01-11
20.23,2019-01-14
20.38,2019-01-15
19.73,2019-01-16
20.25,2019-01-17
20.77,2019-01-18
19.76,2019-01-22
19.8,2019-01-23
20.85,2019-01-24
21.93,2019-01-25
20.18,2019-01-28
19.25,2019-01-29
23.09,2019-01-30
24.41,2019-01-31
24.51,2019-02-01
24.13,2019-02-04
23.31,2019-02-05
23.26,2019-02-06
22.67,2019-02-07
23.05,2019-02-08
22.96,2019-02-11
22.82,2019-02-12
22.85,2019-02-13
23.13,2019-02-14
23.68,2019-02-15
23.95,2019-02-19
23.95,2019-02-20
23.92,2019-02-21
24.36,2019-02-22
24.71,2019-02-25
24.21,2019-02-26
23.48,2019-02-27
23.53,2019-02-28
23.68,2019-03-01
23.37,2019-03-04
23.5,2019-03-05
22.41,2019-03-06
22.08,2019-03-07
22.01,2019-03-08
22.96,2019-03-11
23.49,2019-03-12
23.38,2019-03-13
22.82,2019-03-14
23.29,2019-03-15
23.25,2019-03-18
26.0,2019-03-19
25.7,2019-03-20
27.89,2019-03-21
26.37,2019-03-22
25.97,2019-03-25
25.69,2019-03-26
24.89,2019-03-27
25.06,2019-03-28
25.52,2019-03-29
26.36,2019-04-01
26.75,2019-04-02
29.02,2019-04-03
29.09,2019-04-04
28.98,2019-04-05
28.53,2019-04-08
27.24,2019-04-09
27.83,2019-04-10
27.79,2019-04-11
27.85,2019-04-12
27.33,2019-04-15
27.93,2019-04-16
27.49,2019-04-17
27.68,2019-04-18
28.18,2019-04-22
27.97,2019-04-23
28.46,2019-04-24
27.66,2019-04-25
27.88,2019-04-26
27.69,2019-04-29
27.63,2019-04-30
26.81,2019-05-01
28.29,2019-05-02
28.22,2019-05-03
27.42,2019-05-06
26.66,2019-05-07
27.09,2019-05-08
27.21,2019-05-09
27.96,2019-05-10
26.24,2019-05-13
27.32,2019-05-14
27.58,2019-05-15
28.01,2019-05-16
27.5,2019-05-17
26.68,2019-05-20
27.35,2019-05-21
27.41,2019-05-22
26.36,2019-05-23
26.44,2019-05-24
29.03,2019-05-28
28.09,2019-05-29
28.03,2019-05-30
27.41,2019-05-31
27.58,2019-06-03
29.57,2019-06-04
29.5,2019-06-05
31.82,2019-06-06
32.41,2019-06-07
33.23,2019-06-10
32.41,2019-06-11
32.18,2019-06-12
31.39,2019-06-13
30.36,2019-06-14
29.2,2019-06-17
30.45,2019-06-18
30.5,2019-06-19
30.01,2019-06-20
29.1,2019-06-21
29.26,2019-06-24
28.86,2019-06-25
29.92,2019-06-26
30.74,2019-06-27
30.37,2019-06-28
31.2,2019-07-01
31.24,2019-07-02
31.19,2019-07-03
31.5,2019-07-05
32.04,2019-07-08
33.15,2019-07-09
33.79,2019-07-10
33.06,2019-07-11
33.21,2019-07-12
34.39,2019-07-15
33.85,2019-07-16
33.6,2019-07-17
33.0,2019-07-18
32.51,2019-07-19
32.85,2019-07-22
33.49,2019-07-23
34.11,2019-07-24
33.67,2019-07-25
34.02,2019-07-26
33.48,2019-07-29
33.87,2019-07-30
30.45,2019-07-31
29.86,2019-08-01
29.44,2019-08-02
27.99,2019-08-05
28.86,2019-08-06
29.19,2019-08-07
33.92,2019-08-08
34.19,2019-08-09
32.43,2019-08-12
32.11,2019-08-13
30.24,2019-08-14
29.67,2019-08-15
31.18,2019-08-16
31.48,2019-08-19
30.72,2019-08-20
31.7,2019-08-21
31.9,2019-08-22
29.54,2019-08-23
30.28,2019-08-26
30.2,2019-08-27
30.78,2019-08-28
31.45,2019-08-29
31.45,2019-08-30
30.9,2019-09-03
30.95,2019-09-04
31.5,2019-09-05
30.56,2019-09-06
30.5,2019-09-09
30.23,2019-09-10
29.76,2019-09-11
30.21,2019-09-12
30.7,2019-09-13
30.83,2019-09-16
30.99,2019-09-17
30.42,2019-09-18
30.29,2019-09-19
30.05,2019-09-20
30.64,2019-09-23
29.52,2019-09-24
29.54,2019-09-25
29.47,2019-09-26
28.72,2019-09-27
28.99,2019-09-30
28.76,2019-10-01
28.31,2019-10-02
28.68,2019-10-03
29.01,2019-10-04
28.93,2019-10-07
28.23,2019-10-08
28.46,2019-10-09
28.38,2019-10-10
29.7395,2019-10-11
30.53,2019-10-14
30.72,2019-10-15
30.81,2019-10-16
31.14,2019-10-17
30.97,2019-10-18
32.03,2019-10-21
31.51,2019-10-22
31.36,2019-10-23
31.72,2019-10-24
32.71,2019-10-25
33.69,2019-10-28
33.03,2019-10-29
33.13,2019-10-30
33.93,2019-10-31
34.89,2019-11-01
36.29,2019-11-04
36.1195,2019-11-05
35.93,2019-11-06
36.28,2019-11-07
36.29,2019-11-08
36.31,2019-11-11
36.71,2019-11-12
37.52,2019-11-13
38.35,2019-11-14
38.56,2019-11-15
39.88,2019-11-18
41.29,2019-11-19
40.98,2019-11-20
39.52,2019-11-21
39.15,2019-11-22
39.79,2019-11-25
38.99,2019-11-26
39.41,2019-11-27
39.15,2019-11-29
38.73,2019-12-02
38.9,2019-12-03
39.69,2019-12-04
39.62,2019-12-05
39.63,2019-12-06
38.93,2019-12-09
39.44,2019-12-10
39.47,2019-12-11
42.59,2019-12-12
41.15,2019-12-13
42.35,2019-12-16
42.77,2019-12-17
42.3,2019-12-18
42.83,2019-12-19
