Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,3.520000,3.570000,3.470000,3.510000,2.412717,587943033
2018-10-22,3.510000,3.630000,3.370000,3.410000,2.343978,1658193448
2018-10-29,3.430000,3.610000,3.350000,3.570000,2.453959,1203469390
2018-11-05,3.530000,3.680000,3.480000,3.500000,2.405843,803459813
2018-11-12,3.500000,3.540000,3.400000,3.510000,2.412717,742855707
2018-11-19,3.510000,3.560000,3.440000,3.490000,2.398969,432857628
2018-11-26,3.490000,3.640000,3.480000,3.540000,2.433338,530943716
2018-12-03,3.650000,3.650000,3.420000,3.420000,2.350852,739973581
2018-12-10,3.400000,3.470000,3.350000,3.430000,2.357726,577500289
2018-12-17,3.460000,3.470000,3.330000,3.360000,2.309609,542123489
2018-12-24,3.340000,3.480000,3.330000,3.400000,2.337105,284563634
2018-12-31,3.420000,3.460000,3.350000,3.430000,2.357726,301913306
2019-01-07,3.460000,3.530000,3.400000,3.490000,2.398969,571014001
2019-01-14,3.480000,3.600000,3.420000,3.580000,2.460833,553543228
2019-01-21,3.580000,3.720000,3.520000,3.700000,2.543319,529904815
2019-01-28,3.700000,3.750000,3.640000,3.690000,2.536446,489377058
2019-02-04,3.700000,3.700000,3.580000,3.610000,2.481455,184371217
2019-02-11,3.610000,3.720000,3.600000,3.640000,2.502076,385202093
2019-02-18,3.680000,3.780000,3.660000,3.780000,2.598310,535761449
2019-02-25,3.780000,3.870000,3.750000,3.780000,2.598310,877878035
2019-03-04,3.780000,3.880000,3.700000,3.700000,2.543319,705355528
2019-03-11,3.700000,3.770000,3.650000,3.730000,2.563941,550460620
2019-03-18,3.740000,3.770000,3.670000,3.700000,2.543319,535336729
2019-03-25,3.650000,3.690000,3.620000,3.620000,2.488329,528396622
2019-04-01,3.650000,3.740000,3.650000,3.720000,2.557067,583742852
2019-04-08,3.760000,3.770000,3.570000,3.600000,2.474581,954422887
2019-04-15,3.630000,3.710000,3.580000,3.660000,2.515824,824249732
2019-04-22,3.660000,3.660000,3.590000,3.600000,2.474581,608631618
2019-04-29,3.630000,3.640000,3.580000,3.620000,2.488329,396681478
2019-05-06,3.580000,3.590000,3.400000,3.420000,2.350852,1220389278
2019-05-13,3.420000,3.420000,3.330000,3.340000,2.295861,705236551
2019-05-20,3.340000,3.420000,3.330000,3.360000,2.309609,762542010
2019-05-27,3.360000,3.390000,3.310000,3.360000,2.309609,626578902
2019-06-03,3.360000,3.440000,3.350000,3.420000,2.350852,630880071
2019-06-10,3.430000,3.470000,3.190000,3.210000,2.206501,1068392853
2019-06-17,3.220000,3.290000,3.190000,3.280000,2.391361,822370577
2019-06-24,3.270000,3.290000,3.220000,3.270000,2.384070,581078984
2019-07-01,3.270000,3.320000,3.240000,3.250000,2.369488,454125752
2019-07-08,3.250000,3.280000,3.210000,3.260000,2.376779,303939396
2019-07-15,3.250000,3.280000,3.220000,3.260000,2.376779,317121800
2019-07-22,3.260000,3.270000,3.210000,3.240000,2.362198,292515528
2019-07-29,3.250000,3.250000,3.090000,3.100000,2.260127,528739901
2019-08-05,3.070000,3.080000,2.950000,3.000000,2.187220,896958928
2019-08-12,3.010000,3.040000,2.950000,3.020000,2.201802,695889857
2019-08-19,3.040000,3.040000,2.980000,3.000000,2.187220,542972733
2019-08-26,2.970000,3.020000,2.930000,3.020000,2.201802,616977379
2019-09-02,3.000000,3.090000,2.990000,3.080000,2.245546,541560388
2019-09-09,3.090000,3.200000,3.080000,3.180000,2.318453,400433857
2019-09-16,3.150000,3.180000,3.070000,3.110000,2.267418,332030198
2019-09-23,3.120000,3.130000,3.030000,3.050000,2.223674,321077636
2019-09-30,3.030000,3.090000,3.010000,3.040000,2.216383,221658910
2019-10-07,3.040000,3.150000,3.030000,3.130000,2.282000,327048417
2019-10-14,3.150000,3.200000,3.140000,3.170000,2.311162,330406063
2019-10-21,3.150000,3.290000,3.150000,3.230000,2.354907,337829626
2019-10-28,3.250000,3.290000,3.210000,3.270000,2.384070,408617159
2019-11-04,3.300000,3.350000,3.280000,3.310000,2.413233,413748413
2019-11-11,3.290000,3.300000,3.160000,3.170000,2.311162,427019092
2019-11-18,3.190000,3.270000,3.170000,3.210000,2.340326,390498393
2019-11-25,3.200000,3.260000,3.160000,3.170000,2.311162,409235683
2019-12-02,3.190000,3.210000,3.140000,3.190000,2.325744,327161459
2019-12-09,3.200000,3.300000,3.170000,3.290000,2.398651,417963283
2019-12-16,3.270000,3.420000,3.250000,3.410000,2.486140,760922008
2019-12-23,3.390000,3.470000,3.380000,3.450000,2.515303,188740534
2019-12-30,3.460000,3.500000,3.420000,3.450000,2.515303,314275543
2020-01-06,3.410000,3.440000,3.310000,3.370000,2.456977,419780349
2020-01-13,3.380000,3.410000,3.300000,3.350000,2.442395,336095374
2020-01-20,3.340000,3.360000,3.180000,3.200000,2.333035,403372875
2020-01-27,3.200000,3.200000,3.010000,3.020000,2.201802,609774594
2020-02-03,3.000000,3.140000,2.970000,3.080000,2.245546,1027035883
2020-02-10,3.050000,3.200000,3.030000,3.180000,2.318453,1088070011
2020-02-17,3.150000,3.230000,3.130000,3.170000,2.311162,775793741
2020-02-24,3.150000,3.210000,3.080000,3.120000,2.274709,855489085
2020-03-02,3.150000,3.260000,3.120000,3.180000,2.318453,912919845
2020-03-09,3.100000,3.210000,2.910000,3.110000,2.267418,1284906789
2020-03-16,3.040000,3.080000,2.690000,2.950000,2.150767,1072520017
2020-03-23,2.850000,3.070000,2.780000,2.990000,2.179929,1014352660
