Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,196.199997,205.119995,195.000000,201.800003,173.346176,11938400
2018-10-22,201.160004,201.800003,181.309998,185.979996,159.756790,19123400
2018-10-29,189.320007,195.350006,184.800003,187.059998,160.684555,18934700
2018-11-05,187.679993,198.279999,187.550003,193.160004,165.924423,12911800
2018-11-12,193.649994,195.240005,187.119995,194.179993,166.800598,13661000
2018-11-19,194.919998,198.679993,190.770004,192.570007,166.572647,9441500
2018-11-26,194.940002,208.990005,191.869995,208.250000,180.135818,13616600
2018-12-03,208.100006,208.300003,191.050003,191.440002,165.595245,14506100
2018-12-10,193.029999,199.440002,188.190002,192.070007,166.140167,13542500
2018-12-17,192.240005,194.449997,179.210007,180.210007,155.881271,21715100
2018-12-24,179.500000,194.589996,178.289993,190.729996,164.981049,10688700
2018-12-31,191.929993,196.520004,188.669998,195.440002,169.055206,13941200
2019-01-07,194.759995,203.520004,194.000000,200.559998,173.483963,15703500
2019-01-14,199.490005,204.330002,196.039993,203.880005,176.355759,15076000
2019-01-21,202.619995,203.949997,196.880005,198.770004,171.935638,11865000
2019-01-28,194.970001,194.970001,179.649994,187.070007,161.815155,22344200
2019-02-04,186.960007,191.869995,182.669998,186.000000,160.889618,17975700
2019-02-11,186.789993,190.119995,185.509995,188.339996,162.913742,13371800
2019-02-18,187.789993,189.220001,184.750000,187.500000,163.441177,11035600
2019-02-25,188.660004,192.190002,187.889999,191.160004,166.631531,12685400
2019-03-04,191.820007,192.119995,179.009995,180.869995,157.661865,15848700
2019-03-11,181.839996,191.639999,181.399994,191.240005,166.701294,17988700
2019-03-18,191.080002,192.869995,186.550003,186.699997,162.743805,12515200
2019-03-25,186.639999,191.000000,185.039993,189.979996,165.602936,11980700
2019-04-01,191.139999,196.869995,190.509995,195.410004,170.336212,10699600
2019-04-08,194.529999,195.309998,190.649994,191.419998,166.858154,9299000
2019-04-15,191.839996,193.179993,176.850006,177.470001,154.698151,18274300
2019-04-22,177.100006,181.850006,174.869995,181.470001,158.184891,14298200
2019-04-29,181.449997,182.470001,171.250000,177.309998,154.558701,18693100
2019-05-06,175.490005,177.240005,168.440002,171.850006,149.799301,14697100
2019-05-13,169.240005,172.020004,166.300003,169.910004,148.108170,13740100
2019-05-20,168.679993,173.770004,168.149994,171.279999,150.587799,12328700
2019-05-27,171.559998,172.770004,166.679993,166.699997,146.561127,11490000
2019-06-03,172.000000,176.809998,170.559998,175.509995,154.306793,17403200
2019-06-10,175.949997,177.899994,174.050003,176.080002,154.807938,9591400
2019-06-17,176.039993,187.130005,175.399994,187.110001,164.505432,17167300
2019-06-24,186.070007,187.000000,182.740005,184.279999,162.017303,13284500
2019-07-01,186.880005,189.419998,184.199997,185.940002,163.476761,8034500
2019-07-08,184.660004,185.009995,174.190002,174.929993,153.796860,14860900
2019-07-15,174.899994,181.580002,174.610001,178.389999,156.838882,12823700
2019-07-22,177.830002,178.809998,173.119995,175.339996,154.157349,11752500
2019-07-29,175.270004,189.460007,174.270004,187.220001,164.602127,17599300
2019-08-05,185.580002,200.000000,179.610001,196.250000,172.541214,21407900
2019-08-12,197.899994,211.899994,197.250000,204.020004,179.372513,26681100
2019-08-19,203.229996,206.500000,198.009995,199.080002,176.269348,13534700
2019-08-26,200.600006,210.970001,199.669998,208.619995,184.716232,16201400
2019-09-02,207.300003,209.350006,203.000000,207.729996,183.928207,8202000
2019-09-09,202.529999,202.949997,193.899994,195.470001,173.072968,18971600
2019-09-16,196.160004,199.320007,193.259995,196.940002,174.374542,14106400
2019-09-23,197.750000,199.800003,193.080002,194.940002,172.603683,9434400
2019-09-30,192.800003,196.679993,188.779999,195.589996,173.179230,11120800
2019-10-07,194.539993,203.889999,194.449997,200.800003,177.792267,9294500
2019-10-14,201.250000,204.979996,200.809998,202.720001,179.492233,8313700
2019-10-21,203.570007,206.059998,200.779999,203.050003,179.784439,8048800
2019-10-28,203.169998,219.380005,202.679993,217.949997,192.977188,16847600
2019-11-04,218.729996,221.250000,213.190002,221.110001,195.775162,12767000
2019-11-11,220.240005,225.259995,213.550003,220.860001,195.553757,11179700
2019-11-18,221.059998,230.869995,219.210007,230.740005,205.659225,12949700
2019-11-25,231.080002,235.800003,231.080002,234.720001,209.206635,8463600
2019-12-02,234.539993,235.800003,230.779999,233.770004,208.359894,9312000
2019-12-09,234.960007,238.119995,231.509995,236.740005,211.007050,9009400
2019-12-16,239.500000,244.990005,239.500000,243.059998,216.640091,15549200
2019-12-23,243.979996,244.000000,240.160004,241.529999,215.276367,4482300
2019-12-30,241.399994,243.190002,236.240005,238.470001,212.549026,7169700
2020-01-06,237.199997,240.929993,236.559998,238.259995,212.361801,8943000
2020-01-13,238.259995,243.850006,234.789993,241.490005,215.240738,10832700
2020-01-20,240.970001,242.009995,224.500000,225.589996,201.069046,12201000
2020-01-27,223.679993,228.929993,210.009995,216.050003,192.566010,15499100
2020-02-03,216.389999,234.639999,215.559998,229.330002,204.402527,13302800
2020-02-10,228.149994,230.229996,221.339996,223.479996,199.188416,10138900
2020-02-17,224.149994,224.350006,218.509995,222.789993,199.982971,6944800
2020-02-24,219.880005,223.990005,195.179993,199.729996,179.283600,19666300
2020-03-02,199.899994,216.389999,198.710007,210.649994,189.085709,18386900
2020-03-09,197.740005,207.100006,181.770004,202.100006,181.410995,23577800
2020-03-16,184.669998,210.910004,182.960007,188.250000,168.978821,26966400
2020-03-23,188.889999,205.869995,177.050003,198.270004,177.973068,24267600
2020-03-30,200.050003,209.750000,194.210007,205.410004,184.382126,15044600
2020-04-06,212.000000,219.820007,206.850006,218.210007,195.871826,11514400
2020-04-13,216.979996,236.990005,215.149994,234.970001,210.916077,13785500
2020-04-20,234.199997,239.559998,227.589996,236.279999,212.091980,13514600
2020-04-27,236.630005,244.949997,228.000000,230.979996,207.334518,17136500
2020-05-04,232.440002,239.679993,228.100006,234.820007,210.781433,9977300
2020-05-11,233.070007,244.500000,232.509995,240.199997,215.610687,13131600
2020-05-18,243.660004,244.389999,223.610001,226.429993,204.626068,17893600
2020-05-25,227.529999,230.570007,217.470001,229.699997,207.581177,12172100
2020-06-01,228.889999,230.539993,218.199997,225.669998,203.939240,14783500
2020-06-08,223.270004,229.779999,214.199997,217.899994,196.917465,13852700
2020-06-15,215.809998,239.070007,213.860001,238.699997,215.714569,15593800
2020-06-22,236.309998,239.169998,230.389999,232.839996,210.418839,12175000
2020-06-29,233.399994,261.459991,229.979996,258.239990,233.372910,14440800
2020-07-06,260.029999,264.970001,247.070007,249.039993,225.058868,10885700
2020-07-13,249.830002,259.950012,240.479996,258.459991,233.571762,10122200
2020-07-20,260.079987,262.820007,245.500000,247.979996,224.100922,9637000
2020-07-27,247.300003,258.399994,239.389999,244.669998,221.109650,12506500
2020-08-03,244.850006,249.020004,238.570007,240.690002,217.512924,8601700
2020-08-10,240.259995,243.000000,234.360001,239.710007,216.627274,8742700
2020-08-17,240.210007,244.740005,235.509995,237.639999,216.195145,7854500
2020-08-24,237.729996,256.910004,233.559998,253.119995,230.278229,27849100
2020-08-31,252.929993,260.059998,244.580002,248.399994,225.984161,15842400
2020-09-07,246.229996,247.490005,238.899994,243.210007,221.262527,9628700
2020-09-14,244.839996,251.919998,242.350006,247.720001,225.365524,15499200
2020-09-21,247.039993,249.229996,237.779999,243.820007,221.817490,11485100
2020-09-28,247.679993,258.510010,244.009995,245.410004,223.263992,12690900
2020-10-05,246.520004,258.399994,234.020004,236.699997,215.339981,16901800
2020-10-12,237.729996,242.270004,232.869995,235.720001,214.448425,12231100
2020-10-19,236.210007,237.440002,226.160004,227.160004,206.660873,10955700
2020-10-26,226.020004,228.229996,210.279999,216.940002,197.363129,14152100
2020-11-02,221.559998,235.979996,217.199997,231.669998,210.763901,12471400
2020-11-09,242.940002,245.839996,234.000000,237.360001,215.940430,13189100
2020-11-16,237.419998,239.820007,221.479996,223.169998,204.410110,12022400
2020-11-23,222.059998,226.210007,218.919998,224.809998,205.912216,9479500
2020-11-30,224.330002,230.330002,219.449997,229.210007,209.942413,14726100
2020-12-07,229.000000,231.589996,225.110001,227.399994,208.284515,10162200
2020-12-14,229.479996,232.190002,227.000000,228.490005,209.282898,16459700
2020-12-21,225.679993,227.940002,220.080002,222.929993,204.190277,8601900
2020-12-28,223.029999,230.250000,223.029999,229.919998,210.592697,6771900
2021-01-04,231.250000,238.860001,223.669998,238.490005,218.442276,14495900
2021-01-11,240.000000,246.839996,234.429993,245.490005,224.853867,11233500
2021-01-18,246.500000,255.229996,246.119995,253.500000,232.190552,9023600
2021-01-25,252.050003,276.690002,240.250000,241.429993,221.135147,16075900
2021-02-01,244.300003,245.479996,231.389999,236.320007,216.454697,14338400
2021-02-08,237.990005,240.300003,233.490005,237.210007,217.269897,10313300
2021-02-15,236.009995,237.690002,230.850006,231.690002,213.791840,8010300
2021-02-22,230.330002,238.000000,223.619995,224.919998,207.544830,14167200
