Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,6.210000,6.280000,6.020000,6.200000,4.402418,1067402321
2018-10-22,6.250000,6.420000,6.100000,6.170000,4.381116,1815714426
2018-10-29,6.260000,6.620000,6.100000,6.580000,4.672244,1964416610
2018-11-05,6.450000,6.650000,6.370000,6.430000,4.565733,1455033525
2018-11-12,6.390000,6.530000,6.230000,6.530000,4.636740,1027028983
2018-11-19,6.560000,6.600000,6.360000,6.480000,4.601237,733147246
2018-11-26,6.540000,6.780000,6.490000,6.670000,4.736150,1274229823
2018-12-03,6.850000,6.880000,6.430000,6.490000,4.608337,1509276300
2018-12-10,6.400000,6.640000,6.330000,6.440000,4.572834,1235507715
2018-12-17,6.430000,6.500000,6.230000,6.360000,4.516029,1307210919
2018-12-24,6.250000,6.420000,6.240000,6.360000,4.516029,493972630
2018-12-31,6.410000,6.470000,6.220000,6.410000,4.551532,865451257
2019-01-07,6.470000,6.630000,6.370000,6.580000,4.672244,1483766164
2019-01-14,6.530000,6.660000,6.450000,6.630000,4.707747,1380851519
2019-01-21,6.630000,6.830000,6.610000,6.820000,4.842660,1353843185
2019-01-28,6.870000,7.100000,6.820000,7.000000,4.970472,1653418609
2019-02-04,7.050000,7.060000,6.790000,6.910000,4.906566,405551379
2019-02-11,6.950000,7.020000,6.800000,6.800000,4.828459,1230049571
2019-02-18,6.880000,7.000000,6.840000,6.940000,4.927868,1527218047
2019-02-25,6.960000,7.170000,6.880000,6.990000,4.963371,2790731806
2019-03-04,7.000000,7.160000,6.890000,6.890000,4.892365,2112608627
2019-03-11,6.950000,7.090000,6.870000,7.000000,4.970472,1372608296
2019-03-18,7.030000,7.090000,6.910000,6.940000,4.927868,1356427934
2019-03-25,6.810000,6.870000,6.730000,6.730000,4.778754,1875565460
2019-04-01,6.800000,6.990000,6.800000,6.960000,4.942070,1555700236
2019-04-08,6.990000,7.040000,6.800000,6.930000,4.920767,1529966025
2019-04-15,6.980000,7.210000,6.870000,7.060000,5.013076,2021308910
2019-04-22,7.060000,7.060000,6.890000,6.910000,4.906566,1124753873
2019-04-29,6.910000,7.000000,6.880000,6.990000,4.963371,771270900
2019-05-06,6.850000,6.870000,6.410000,6.470000,4.594136,2254194792
2019-05-13,6.470000,6.470000,6.260000,6.290000,4.466324,2418386437
2019-05-20,6.320000,6.380000,6.200000,6.250000,4.437922,1920877438
2019-05-27,6.200000,6.270000,6.130000,6.200000,4.402418,1992140457
2019-06-03,6.170000,6.210000,6.110000,6.180000,4.388217,1350484501
2019-06-10,6.180000,6.420000,6.170000,6.330000,4.494727,2277561531
2019-06-17,6.330000,6.620000,6.320000,6.570000,4.665143,1727460762
2019-06-24,6.570000,6.740000,6.470000,6.730000,4.778754,1895429894
2019-07-01,6.730000,6.730000,6.250000,6.270000,4.452123,1022433670
2019-07-08,6.200000,6.320000,6.120000,6.250000,4.680630,1194049939
2019-07-15,6.200000,6.290000,6.180000,6.250000,4.680630,931692353
2019-07-22,6.230000,6.260000,6.140000,6.200000,4.643185,1000698403
2019-07-29,6.200000,6.200000,5.910000,5.930000,4.440981,1749863527
2019-08-05,5.850000,5.870000,5.630000,5.700000,4.268734,2108220640
2019-08-12,5.700000,5.770000,5.550000,5.730000,4.291202,1861078711
2019-08-19,5.730000,5.820000,5.710000,5.790000,4.336135,1764126830
2019-08-26,5.650000,5.860000,5.620000,5.820000,4.358603,1979570375
2019-09-02,5.750000,6.060000,5.730000,6.030000,4.515872,2059772592
2019-09-09,6.030000,6.280000,6.020000,6.240000,4.673141,1376526534
2019-09-16,6.160000,6.180000,5.950000,5.970000,4.470938,2297915749
2019-09-23,5.950000,6.000000,5.880000,5.920000,4.433493,2248452333
2019-09-30,5.900000,6.040000,5.880000,5.920000,4.433493,807214576
2019-10-07,5.920000,6.160000,5.860000,6.130000,4.590762,1572734296
2019-10-14,6.110000,6.350000,6.110000,6.260000,4.688119,2465615163
2019-10-21,6.220000,6.380000,6.210000,6.290000,4.710586,1428079892
2019-10-28,6.320000,6.380000,6.190000,6.360000,4.763009,1542749554
