Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,76.849998,78.500000,76.099998,77.849998,54.024815,75802606
2018-10-22,77.750000,78.000000,72.500000,73.050003,50.693806,89143948
2018-10-29,72.099998,74.750000,71.150002,74.050003,51.387753,98446993
2018-11-05,72.199997,75.150002,72.000000,72.900002,50.589703,64378144
2018-11-12,73.550003,76.900002,72.949997,76.849998,53.330841,63676843
2018-11-19,76.849998,77.800003,74.099998,75.900002,52.671589,52344930
2018-11-26,76.500000,78.000000,76.050003,77.650002,53.886024,83496967
2018-12-03,78.500000,78.500000,74.500000,77.550003,53.816608,134518692
2018-12-10,77.500000,77.650002,74.650002,74.949997,52.012310,84505699
2018-12-17,74.849998,76.000000,74.000000,75.349998,52.289902,74675482
2018-12-24,74.900002,75.000000,73.349998,73.900002,51.283661,42357622
2018-12-31,75.099998,76.849998,72.900002,76.800003,53.296158,62326151
2019-01-07,77.900002,80.000000,77.050003,80.000000,55.516819,100230986
2019-01-14,80.150002,82.150002,79.550003,80.849998,56.106686,86836186
2019-01-21,80.849998,82.449997,79.800003,81.150002,56.314888,103260637
2019-01-28,81.800003,84.000000,81.150002,83.150002,57.702793,90186224
2019-02-04,83.500000,84.000000,81.650002,82.349998,57.147629,28028879
2019-02-11,82.099998,84.000000,81.949997,83.300003,57.806892,74564106
2019-02-18,84.000000,85.000000,82.500000,85.000000,58.986626,76840638
2019-02-25,85.000000,85.199997,82.349998,83.900002,58.223270,97285604
2019-03-04,83.599998,83.750000,80.349998,81.250000,56.384277,116398136
2019-03-11,81.949997,86.000000,81.750000,85.949997,59.645885,74057483
2019-03-18,86.000000,87.699997,80.050003,81.900002,56.835350,104251957
2019-03-25,81.000000,82.500000,79.699997,80.000000,55.516819,77526061
2019-04-01,80.900002,81.000000,78.050003,79.500000,55.169846,111586726
2019-04-08,79.400002,79.500000,76.650002,77.000000,53.434944,92997828
2019-04-15,78.000000,78.099998,75.150002,75.699997,52.532787,71847766
2019-04-22,75.699997,75.699997,73.500000,75.050003,52.081722,79956405
2019-04-29,75.849998,75.849998,73.500000,74.300003,51.561253,58010778
2019-05-06,73.849998,74.150002,72.000000,72.099998,50.034534,99598320
2019-05-13,72.099998,73.150002,70.949997,72.550003,50.346817,77665450
2019-05-20,72.849998,73.800003,71.500000,73.400002,50.936687,83195486
2019-05-27,71.550003,72.599998,68.449997,68.449997,47.501583,88083626
2019-06-03,69.050003,71.250000,68.099998,70.400002,49.798538,66010524
2019-06-10,69.849998,70.650002,68.000000,68.300003,48.313065,95989912
2019-06-17,68.000000,71.099998,68.000000,71.000000,50.222950,80245610
2019-06-24,70.949997,71.500000,69.699997,71.150002,50.329060,53004890
2019-07-01,71.150002,71.800003,70.699997,70.900002,50.152214,40389914
2019-07-08,70.250000,70.900002,69.800003,69.900002,49.444847,42950318
2019-07-15,69.699997,71.150002,69.199997,70.650002,49.975368,42272689
2019-07-22,70.050003,70.150002,67.300003,67.400002,47.676434,76535889
2019-07-29,67.400002,67.949997,64.800003,65.050003,46.014126,68338778
2019-08-05,63.799999,65.949997,62.049999,64.900002,45.908024,109920415
2019-08-12,65.500000,67.000000,62.400002,66.050003,46.721500,120756316
2019-08-19,66.050003,68.099998,65.349998,66.800003,47.252022,98533871
2019-08-26,65.199997,66.699997,64.349998,64.949997,45.943390,84486431
2019-09-02,64.949997,67.599998,64.099998,66.099998,47.864265,75670323
2019-09-09,66.099998,67.800003,65.500000,67.500000,48.878033,73329134
2019-09-16,66.000000,67.050003,64.050003,64.599998,46.778088,71328361
2019-09-23,65.099998,65.949997,63.799999,64.000000,46.343613,63318611
2019-09-30,64.449997,66.050003,64.000000,65.000000,47.067738,50099729
2019-10-07,65.000000,66.849998,64.500000,66.599998,48.226326,52220736
2019-10-14,66.400002,66.849998,64.849998,66.150002,47.900475,82154916
2019-10-21,66.800003,66.800003,64.099998,64.449997,46.669468,60920207
2019-10-28,64.400002,65.300003,63.599998,64.250000,46.524651,65539199
2019-11-04,65.300003,65.300003,63.650002,64.300003,46.560852,88769035
2019-11-11,63.700001,64.000000,60.900002,61.200001,44.316082,72788973
2019-11-18,61.200001,62.750000,60.549999,61.299999,44.388489,57841779
2019-11-25,61.799999,62.750000,58.849998,59.000000,42.723022,97798701
2019-12-02,59.750000,60.000000,58.299999,59.299999,42.940258,65634842
2019-12-09,59.000000,61.900002,59.000000,61.599998,44.605724,78226388
2019-12-16,61.700001,64.599998,61.500000,63.950001,46.307411,115585328
2019-12-23,64.449997,65.500000,63.349998,65.400002,47.357384,37446597
2019-12-30,65.400002,66.199997,64.349998,64.400002,46.633259,47048298
2020-01-06,64.650002,65.050003,62.599998,64.199997,46.488441,65076526
2020-01-13,63.950001,66.750000,63.950001,66.199997,47.936676,80792642
2020-01-20,70.000000,70.000000,66.849998,69.699997,50.471088,129116388
2020-01-27,69.699997,69.699997,64.199997,64.199997,46.488441,89030548
2020-02-03,63.400002,67.400002,63.150002,67.300003,48.733212,128299974
2020-02-10,65.750000,67.449997,65.000000,65.099998,47.140148,72914215
2020-02-17,65.349998,67.849998,65.099998,66.099998,47.864265,73107194
2020-02-24,66.750000,66.750000,60.849998,61.299999,44.388489,117529417
2020-03-02,60.700001,62.799999,60.500000,60.500000,43.809193,134961166
2020-03-09,59.000000,59.950001,50.500000,52.900002,38.305897,218510723
2020-03-16,51.000000,54.799999,45.200001,54.799999,39.681717,260602240
2020-03-23,52.000000,58.400002,51.799999,56.549999,40.948929,214024753
2020-03-30,55.900002,60.900002,55.150002,60.650002,43.917824,146278352
2020-04-06,61.299999,63.500000,60.450001,61.599998,44.605724,116932146
2020-04-13,61.599998,63.250000,59.700001,60.299999,43.664375,94657255
2020-04-20,59.849998,62.200001,59.549999,61.049999,44.207462,99850477
2020-04-27,61.799999,63.750000,61.200001,62.450001,45.221226,62730033
2020-05-04,60.049999,60.950001,59.099998,59.099998,42.795425,129943367
2020-05-11,59.799999,60.349998,56.400002,56.599998,40.985134,124530240
2020-05-18,56.349998,59.000000,55.049999,56.150002,40.659283,178117134
2020-05-25,54.900002,55.349998,53.200001,54.099998,39.174839,121782582
2020-06-01,55.599998,56.500000,53.849998,54.650002,40.825878,141099271
2020-06-08,55.000000,57.150002,53.799999,54.250000,40.527054,154391846
2020-06-15,53.599998,55.200001,52.799999,54.250000,40.527054,93148902
2020-06-22,54.450001,55.299999,53.049999,53.400002,39.892071,70438093
2020-06-29,53.299999,54.750000,51.599998,54.650002,40.825878,108345113
2020-07-06,54.950001,58.299999,54.500000,54.900002,41.012634,139910603
2020-07-13,54.700001,55.400002,53.900002,54.150002,40.452354,81204885
2020-07-20,54.000000,54.700001,52.349998,53.500000,39.966774,86891492
2020-07-27,53.950001,54.200001,52.549999,53.099998,39.667953,97743991
2020-08-03,52.900002,55.799999,52.900002,53.849998,40.228241,97209763
2020-08-10,54.400002,60.299999,53.950001,58.650002,43.814045,145817639
2020-08-17,58.500000,60.400002,57.250000,58.400002,43.627281,92034295
2020-08-24,58.099998,59.500000,55.150002,55.799999,41.684971,90264500
2020-08-31,57.000000,57.200001,52.549999,53.150002,40.763287,150755284
2020-09-07,52.599998,54.000000,52.299999,53.150002,40.763287,85452911
