Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,44.639999,46.490002,44.590000,46.330002,39.636257,59812900
2018-10-22,46.369999,47.389999,45.430000,45.919998,39.285480,89071700
2018-10-29,46.150002,48.150002,46.040001,48.000000,41.064964,101216400
2018-11-05,48.000000,49.889999,47.919998,49.680000,42.502239,65317500
2018-11-12,49.610001,50.250000,49.270000,50.169998,42.921452,65383900
2018-11-19,50.310001,50.840000,48.549999,49.020000,41.937607,48182800
2018-11-26,49.009998,50.490002,48.669998,50.400002,43.118229,66993800
2018-12-03,49.869999,50.509998,48.660000,49.090000,42.329575,67177700
2018-12-10,49.450001,50.020000,48.470001,49.340000,42.545151,70333700
2018-12-17,49.340000,49.529999,47.099998,47.570000,41.018913,104759900
2018-12-24,47.619999,48.009998,45.660000,47.200001,40.699863,55261000
2018-12-31,47.490002,47.570000,46.529999,47.570000,41.018913,49908100
2019-01-07,47.570000,47.750000,46.340000,47.340000,40.820580,73653900
2019-01-14,47.250000,47.689999,46.810001,47.610001,41.053402,64570300
2019-01-21,47.700001,48.290001,47.209999,47.369999,40.846451,46097200
2019-01-28,47.220001,48.779999,46.939999,48.700001,41.993294,86229600
2019-02-04,48.700001,49.500000,48.540001,49.500000,42.683125,56307800
2019-02-11,49.570000,49.939999,45.200001,45.240002,39.009796,127708400
2019-02-18,45.320000,45.950001,44.770000,45.279999,39.044277,100824900
2019-02-25,45.439999,45.639999,44.419998,45.380001,39.130505,100890600
2019-03-04,45.529999,45.790001,44.610001,44.840000,38.664871,70931300
2019-03-11,45.139999,46.340000,45.099998,45.299999,39.061523,123456500
2019-03-18,45.430000,46.110001,45.180000,45.930000,39.950504,91468400
2019-03-25,45.860001,46.919998,45.790001,46.860001,40.759434,61813400
2019-04-01,46.990002,47.169998,46.040001,46.470001,40.420200,48364700
2019-04-08,46.540001,47.000000,46.270000,46.740002,40.655052,44165400
2019-04-15,46.880001,47.580002,46.700001,47.480000,41.298714,45082200
2019-04-22,47.400002,48.720001,47.020000,48.259998,41.977165,72758500
2019-04-29,48.169998,49.180000,48.110001,48.720001,42.377285,53997100
2019-05-06,48.330002,48.610001,47.070000,48.189999,41.916275,51531000
2019-05-13,47.910000,49.660000,47.730000,49.200001,42.794792,69206500
2019-05-20,49.040001,49.900002,48.450001,49.610001,43.151417,59575300
2019-05-27,49.599998,49.669998,48.410000,49.130001,42.733906,51604400
2019-06-03,49.160000,52.189999,49.020000,51.490002,44.786667,72499400
2019-06-10,51.540001,52.139999,50.779999,51.310001,44.630100,49789000
2019-06-17,51.250000,51.889999,50.470001,51.549999,45.188881,62878600
