Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,73.560318,76.442680,72.059090,75.421844,73.907959,66756015
2018-10-22,75.601997,76.923080,67.075005,67.855644,66.493622,70166183
2018-10-29,68.636284,70.437759,54.464661,55.785744,54.666004,194271566
2018-11-05,56.386238,57.286976,48.940132,51.522247,50.488079,132670620
2018-11-12,50.561459,54.344563,46.358013,48.159492,47.192822,154249828
2018-11-19,47.979343,49.480576,45.217079,45.457275,44.544849,69826145
2018-11-26,45.697472,48.039391,43.595749,45.036930,44.132931,117208510
2018-12-03,45.277126,47.739147,41.974419,42.094517,41.249588,81842518
2018-12-10,41.854321,45.036930,39.992794,42.634960,41.779175,113128009
2018-12-17,42.574909,47.739147,42.094517,42.935207,42.073399,143879206
2018-12-24,42.394764,45.937668,40.653336,45.096981,44.252571,73489422
2018-12-31,45.157028,49.600674,44.136192,49.420525,48.495152,80059031
2019-01-07,51.342102,54.284512,49.120277,53.684021,52.678825,105910066
2019-01-14,52.903381,55.545547,52.002644,54.404613,53.385914,76358784
2019-01-21,53.924217,55.305351,51.402149,55.005104,53.975174,63813646
2019-01-28,53.924217,64.673035,51.942593,61.190174,60.044434,133114007
2019-02-04,61.670570,65.513718,57.286976,58.908306,57.805294,92225513
2019-02-11,59.268600,62.571308,59.028404,60.589684,59.455189,68023909
2019-02-18,60.229389,61.250225,59.748993,61.070076,59.926579,35386210
2019-02-25,69.476974,70.557854,62.763466,64.137390,62.936459,111211296
2019-03-04,64.449646,66.010925,56.518345,59.828259,58.708012,107175505
2019-03-11,59.016392,65.573769,58.266979,62.201405,61.101391,96499219
2019-03-18,62.388760,64.574554,61.951599,62.326309,61.224079,52325775
2019-03-25,62.201405,63.575333,61.202187,62.388760,61.285427,39425866
2019-04-01,62.576111,64.199844,62.263855,62.513660,61.408123,38994440
2019-04-08,59.391102,59.578453,56.143639,56.206089,55.212097,69866749
2019-04-15,56.268539,58.391880,54.894615,58.391880,57.359230,38871449
2019-04-22,57.767368,59.890709,56.081188,59.765808,58.708862,43726918
2019-04-29,59.765808,65.761124,59.578453,65.573769,64.414101,78559038
2019-05-06,63.950039,65.511322,61.014832,63.263077,62.144272,43314661
2019-05-13,61.514442,64.886810,61.327087,62.451210,61.346775,44185037
2019-05-20,61.889149,63.200626,58.953941,59.016392,57.972706,43015853
2019-05-27,58.766590,59.578453,57.142857,58.953941,57.911346,34213748
2019-06-03,58.079624,63.013271,57.767368,62.326309,61.224079,36741434
