Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,183.500000,193.149994,182.000000,191.300003,173.003220,3327736
2018-10-22,193.300003,193.899994,186.649994,189.100006,171.013626,2893562
2018-10-29,189.100006,201.899994,184.050003,201.100006,181.865921,3702836
2018-11-05,200.899994,206.600006,200.399994,205.600006,185.935486,2377858
2018-11-12,205.899994,210.300003,204.600006,207.600006,187.744202,2773090
2018-11-19,208.000000,209.199997,201.699997,206.399994,186.658981,2293856
2018-11-26,206.300003,210.500000,204.800003,207.899994,188.015503,2632038
2018-12-03,212.100006,214.300003,202.000000,206.000000,186.297211,3134382
2018-12-10,206.500000,211.899994,203.300003,204.300003,184.759827,3111258
2018-12-17,204.100006,205.300003,198.050003,200.699997,181.504150,3397677
2018-12-24,198.800003,200.500000,193.199997,198.100006,179.152832,1136727
2018-12-31,198.050003,201.300003,196.000000,200.000000,180.871094,1521309
2019-01-07,200.800003,200.800003,195.050003,197.949997,179.017166,2377278
2019-01-14,196.300003,200.500000,194.550003,199.800003,180.690201,2208477
2019-01-21,199.050003,202.100006,196.550003,200.600006,181.413727,2018465
2019-01-28,199.300003,212.199997,198.449997,211.800003,191.542496,2636284
2019-02-04,211.800003,219.899994,210.399994,218.800003,197.872986,3227610
2019-02-11,218.100006,226.000000,218.100006,221.800003,200.586060,3088899
2019-02-18,221.500000,226.699997,221.500000,225.100006,203.570404,1767064
2019-02-25,224.899994,225.699997,218.500000,223.399994,202.033020,2092171
2019-03-04,224.000000,229.899994,222.800003,229.100006,207.187851,2089486
2019-03-11,227.000000,237.199997,225.100006,236.100006,213.518356,2720217
2019-03-18,235.199997,237.800003,233.899994,234.699997,212.252213,2081501
2019-03-25,234.000000,240.300003,233.500000,239.800003,216.864441,2009781
2019-04-01,241.300003,241.699997,237.500000,240.000000,217.045319,2263432
2019-04-08,240.600006,242.500000,238.399994,240.300003,217.316605,1778244
2019-04-15,239.500000,245.800003,237.199997,243.199997,219.939270,2567333
2019-04-22,243.199997,245.600006,239.000000,241.899994,218.763596,1933965
2019-04-29,238.500000,245.199997,238.000000,241.300003,221.723785,2008273
2019-05-06,238.500000,241.500000,234.800003,235.000000,215.934891,2005862
2019-05-13,235.899994,244.899994,233.100006,243.600006,223.837219,2368695
2019-05-20,243.000000,244.100006,238.699997,243.199997,223.469650,2197831
2019-05-27,244.699997,245.699997,238.300003,240.399994,220.896790,2051007
2019-06-03,240.000000,246.399994,238.100006,245.100006,225.215515,2080290
