Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,64.230003,66.610001,64.010002,65.360001,57.273853,65916800
2018-10-22,65.690002,66.919998,61.180000,62.480000,54.750172,87150700
2018-10-29,63.500000,64.309998,61.270000,63.330002,55.495007,71272900
2018-11-05,63.080002,64.339996,56.189999,56.720001,49.702785,94541800
2018-11-12,56.369999,57.040001,53.529999,55.880001,48.966694,135563100
2018-11-19,55.849998,56.619999,54.070000,55.250000,48.414650,58667100
2018-11-26,55.790001,59.049999,54.689999,58.259998,51.052250,82723000
2018-12-03,60.509998,60.509998,55.689999,55.990002,49.063091,68209000
2018-12-10,57.770000,59.000000,56.639999,57.619999,51.039574,69348600
2018-12-17,57.590000,58.540001,54.689999,54.849998,48.585915,106353400
2018-12-24,53.700001,57.529999,53.509998,56.810001,50.322079,55281000
2018-12-31,57.119999,58.000000,55.209999,56.599998,50.136059,47373100
2019-01-07,56.389999,58.169998,55.610001,57.500000,50.933289,58415500
2019-01-14,57.020000,57.650002,54.369999,55.270000,48.957951,87113800
2019-01-21,54.970001,54.990002,50.279999,51.299999,45.441353,103955000
2019-01-28,50.320000,51.290001,49.099998,49.610001,43.944347,109117800
2019-02-04,49.709999,51.639999,49.470001,50.290001,44.546692,60471600
2019-02-11,50.549999,52.490002,50.380001,51.980000,46.043686,67747900
2019-02-18,52.000000,53.150002,51.750000,53.119999,47.053493,42342800
2019-02-25,53.779999,54.400002,52.270000,54.200001,48.010151,68793800
2019-03-04,54.580002,55.459999,53.029999,53.529999,47.416672,68420200
2019-03-11,53.720001,57.340000,53.650002,56.599998,50.719040,64804700
2019-03-18,56.619999,58.279999,56.439999,56.820000,50.916191,61044000
2019-03-25,56.580002,58.389999,56.070000,57.029999,51.104362,54509200
2019-04-01,57.639999,58.610001,57.110001,57.990002,51.964619,53482100
2019-04-08,57.790001,58.490002,55.790001,56.950001,51.032677,64019600
2019-04-15,57.139999,82.519997,57.029999,79.889999,71.589127,295108900
2019-04-22,79.830002,88.629997,79.339996,86.639999,77.637756,170149400
2019-04-29,86.400002,90.339996,85.839996,89.290001,80.012428,125134300
2019-05-06,86.330002,88.699997,82.260002,85.839996,76.920898,83233900
2019-05-13,83.239998,87.000000,80.000000,81.500000,73.031837,84849700
2019-05-20,77.949997,79.040001,65.900002,66.209999,59.330544,169352900
2019-05-27,66.639999,67.839996,64.760002,66.820000,59.877148,65594800
2019-06-03,67.089996,68.779999,65.830002,68.690002,61.552841,62543900
2019-06-10,69.000000,72.220001,67.900002,68.720001,62.142597,55374900
2019-06-17,69.089996,73.669998,68.900002,72.720001,65.759750,61034700
2019-06-24,72.970001,76.440002,72.199997,76.070000,68.789108,72023800
2019-07-01,80.669998,80.760002,74.099998,76.660004,69.322647,39279800
2019-07-08,75.980003,77.029999,73.300003,74.900002,67.731094,52833600
2019-07-15,75.150002,79.400002,74.050003,75.000000,67.821526,66468300
2019-07-22,75.059998,76.620003,73.309998,75.220001,68.020470,53640900
2019-07-29,75.160004,76.320000,68.250000,71.150002,64.340027,72067400
2019-08-05,69.970001,72.190002,67.120003,71.500000,64.656532,52266700
2019-08-12,71.000000,73.410004,69.309998,73.279999,66.266151,47033600
2019-08-19,74.580002,79.099998,73.220001,73.519997,66.483162,53758000
2019-08-26,74.900002,78.050003,72.519997,77.769997,70.326385,39949100
2019-09-02,76.769997,80.440002,74.699997,78.839996,71.293991,31112700
2019-09-09,79.040001,80.050003,77.339996,78.410004,70.905144,34025500
2019-09-16,77.580002,80.000000,76.169998,76.440002,69.672508,27607700
2019-09-23,76.669998,78.300003,74.629997,76.629997,69.845688,30338600
2019-09-30,76.889999,78.059998,73.160004,77.489998,70.629547,28130000
2019-10-07,77.010002,77.820000,72.809998,76.699997,69.909470,30704000
2019-10-14,76.650002,79.959999,76.279999,77.680000,70.802719,28009500
2019-10-21,78.379997,80.230003,76.870003,80.169998,73.072273,27833500
2019-10-28,80.550003,83.650002,79.839996,83.580002,76.180382,33228400
2019-11-04,84.540001,94.110001,84.220001,94.029999,85.705208,72049800
2019-11-11,91.709999,93.940002,89.430000,90.809998,82.770271,64266800
2019-11-18,90.809998,91.980003,84.529999,84.889999,77.374405,57844000
2019-11-25,85.760002,86.290001,83.419998,83.550003,76.153030,29646000
2019-12-02,83.980003,84.290001,79.809998,83.820000,76.399124,40491000
2019-12-09,84.000000,89.699997,83.690002,87.830002,80.674850,50470300
2019-12-16,89.279999,90.459999,87.589996,88.849998,81.611755,47075000
2019-12-23,89.010002,89.330002,87.980003,88.800003,81.565826,20588800
2019-12-30,88.709999,89.809998,86.440002,87.019997,79.930840,28470700
2020-01-06,85.910004,92.389999,85.540001,90.260002,82.906876,43202500
2020-01-13,91.050003,96.169998,89.250000,95.910004,88.096596,58416900
2020-01-20,95.330002,95.720001,88.830002,89.650002,82.346573,39964500
2020-01-27,87.300003,89.540001,85.040001,85.309998,78.360130,44468700
2020-02-03,85.550003,91.139999,85.160004,87.419998,80.298241,63034100
2020-02-10,86.779999,92.440002,86.500000,89.599998,82.300652,41443100
2020-02-17,87.830002,91.879997,86.330002,87.029999,79.940025,37081500
2020-02-24,83.900002,84.830002,73.339996,78.300003,71.921219,78750100
2020-03-02,79.019997,82.650002,75.830002,77.470001,71.158844,62227200
2020-03-09,72.400002,79.040001,67.000000,75.809998,70.187988,76248200
2020-03-16,68.279999,71.169998,58.000000,60.910000,56.392967,85099300
2020-03-23,61.549999,69.660004,59.110001,66.589996,61.651733,75416300
2020-03-30,67.190002,70.360001,64.550003,65.230003,60.392601,61296200
2020-04-06,68.500000,74.900002,67.650002,71.580002,66.271683,49593700
2020-04-13,71.709999,78.250000,71.440002,76.169998,70.521286,47908000
2020-04-20,75.019997,76.230003,71.750000,76.040001,70.400940,37601900
2020-04-27,76.589996,80.870003,74.680000,75.639999,70.030594,52275800
2020-05-04,75.160004,81.089996,74.089996,80.559998,74.585732,38101900
2020-05-11,80.290001,81.790001,74.370003,75.769997,70.150963,63062100
2020-05-18,77.269997,81.959999,77.209999,78.699997,72.863670,46360500
2020-05-25,80.190002,81.480003,76.160004,80.879997,74.882011,40913600
2020-06-01,79.889999,89.480003,79.239998,88.550003,81.983215,56750500
2020-06-08,89.000000,92.139999,83.529999,85.239998,79.529510,51510600
2020-06-15,83.669998,91.089996,83.099998,88.809998,82.860321,59036000
2020-06-22,88.720001,90.610001,87.320000,88.019997,82.123253,40204600
2020-06-29,88.209999,92.500000,86.680000,91.870003,85.715332,30556800
2020-07-06,93.209999,93.949997,91.440002,92.510002,86.312447,32323500
2020-07-13,93.300003,94.129997,89.199997,92.230003,86.051216,32495900
