Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,44050.000000,44500.000000,43350.000000,43900.000000,38290.585938,38756637
2018-10-22,43450.000000,43950.000000,40400.000000,41000.000000,35761.140625,65163738
2018-10-29,40850.000000,44250.000000,40550.000000,44150.000000,38508.648438,76227435
2018-11-05,43750.000000,45050.000000,42900.000000,44300.000000,38639.484375,48630297
2018-11-12,43850.000000,45250.000000,43400.000000,44000.000000,38377.816406,38288227
2018-11-19,44050.000000,44250.000000,41800.000000,42400.000000,36982.257813,38892407
2018-11-26,42150.000000,44000.000000,41750.000000,41850.000000,36502.542969,50172229
2018-12-03,42750.000000,43400.000000,40450.000000,40950.000000,35717.535156,64775340
2018-12-10,40450.000000,40750.000000,38700.000000,38950.000000,33973.089844,83481737
2018-12-17,38650.000000,39600.000000,38100.000000,38650.000000,33711.421875,59401803
2018-12-24,38500.000000,39050.000000,38100.000000,38700.000000,33755.031250,42848115
2018-12-31,38700.000000,39400.000000,36850.000000,37450.000000,32969.082031,34428115
2019-01-07,38000.000000,40550.000000,37800.000000,40500.000000,35654.144531,69351021
2019-01-14,40450.000000,42400.000000,39850.000000,42300.000000,37238.777344,54735506
2019-01-21,42700.000000,44750.000000,41350.000000,44750.000000,39395.628906,69928154
2019-01-28,45000.000000,47050.000000,44350.000000,46350.000000,40804.191406,87173510
2019-02-04,46350.000000,47100.000000,44650.000000,44800.000000,39439.648438,28561197
2019-02-11,44500.000000,47500.000000,44250.000000,46050.000000,40540.089844,63423133
2019-02-18,46500.000000,47200.000000,45450.000000,47150.000000,41508.476563,42021624
2019-02-25,47400.000000,47550.000000,45100.000000,45100.000000,39703.753906,47084795
2019-03-04,46000.000000,46100.000000,43400.000000,43800.000000,38559.312500,52520306
2019-03-11,44400.000000,44950.000000,43550.000000,44200.000000,38911.437500,65111052
2019-03-18,43950.000000,47000.000000,43100.000000,46550.000000,40980.257813,59318608
2019-03-25,45300.000000,45700.000000,44200.000000,44650.000000,39307.601563,46310639
2019-04-01,45200.000000,47550.000000,44850.000000,46850.000000,41568.851563,50475894
2019-04-08,47250.000000,47250.000000,46000.000000,46850.000000,41568.851563,48637000
2019-04-15,47150.000000,47600.000000,45250.000000,45300.000000,40193.570313,43266015
2019-04-22,45400.000000,45900.000000,43800.000000,44850.000000,39794.304688,46835737
2019-04-29,45150.000000,46300.000000,45100.000000,45300.000000,40193.570313,35086832
2019-05-06,45300.000000,45300.000000,42450.000000,42900.000000,38064.113281,60022891
2019-05-13,42500.000000,43200.000000,40850.000000,41200.000000,36555.742188,53914773
2019-05-20,41650.000000,44000.000000,41550.000000,42700.000000,37886.656250,71823180
2019-05-27,42500.000000,43000.000000,41300.000000,42500.000000,37709.195313,70636185
2019-06-03,42950.000000,44350.000000,42500.000000,44200.000000,39217.566406,49527894
2019-06-10,44300.000000,45050.000000,43300.000000,44000.000000,39040.117188,50293907
2019-06-17,43750.000000,45800.000000,43400.000000,45700.000000,40548.484375,46905740
2019-06-24,45200.000000,47000.000000,45200.000000,47000.000000,41701.937500,47940702
2019-07-01,47350.000000,47400.000000,45200.000000,45650.000000,40820.312500,43116931
2019-07-08,44750.000000,46550.000000,44350.000000,46300.000000,41401.546875,40959749
2019-07-15,45950.000000,46950.000000,45650.000000,46800.000000,41848.648438,31304599
2019-07-22,46800.000000,47550.000000,46250.000000,47150.000000,42161.625000,43109736
2019-07-29,46800.000000,47050.000000,44300.000000,44950.000000,40194.382813,45243331
2019-08-05,44350.000000,44600.000000,42500.000000,43150.000000,38584.812500,65912471
2019-08-12,44000.000000,44250.000000,42950.000000,43900.000000,39255.468750,34021398
2019-08-19,44350.000000,44800.000000,43500.000000,43950.000000,39300.175781,34098698
2019-08-26,43050.000000,44400.000000,42950.000000,44000.000000,39344.882813,51265149
2019-09-02,44850.000000,46500.000000,43100.000000,46300.000000,41401.546875,57596307
2019-09-09,46450.000000,47400.000000,46300.000000,47150.000000,42161.625000,34807568
2019-09-16,47000.000000,49600.000000,46400.000000,49200.000000,43994.738281,64891856
2019-09-23,49250.000000,49650.000000,48000.000000,48400.000000,43279.375000,41170446
2019-09-30,48050.000000,49250.000000,47350.000000,48000.000000,43232.757813,33417312
2019-10-07,48350.000000,49450.000000,47600.000000,49150.000000,44268.550781,47709770
2019-10-14,50000.000000,50900.000000,49650.000000,49900.000000,44944.054688,41509508
2019-10-21,49900.000000,52500.000000,49800.000000,50900.000000,45844.746094,53034822
2019-10-28,50700.000000,51700.000000,50200.000000,51200.000000,46114.949219,41745209
2019-11-04,51700.000000,53500.000000,51400.000000,52100.000000,46925.554688,58814984
2019-11-11,52200.000000,53700.000000,51400.000000,53700.000000,48366.652344,42700674
2019-11-18,53600.000000,53800.000000,50600.000000,51600.000000,46475.214844,51990757
