Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,66.050003,66.320000,64.445000,65.529999,52.491436,15910530
2018-10-22,65.309998,65.355003,60.709999,61.910000,49.591698,23186075
2018-10-29,62.400002,64.029999,60.529999,62.250000,49.864044,22090582
2018-11-05,63.509998,64.555000,62.220001,63.000000,50.464828,15652463
2018-11-12,63.139999,63.203499,60.270000,62.020000,49.679817,20909993
2018-11-19,61.669998,62.070000,58.549999,58.980000,47.979954,14481302
2018-11-26,60.240002,60.950001,59.435001,60.400002,49.135120,16145594
2018-12-03,61.930000,62.119999,57.650002,59.310001,48.248413,16825549
2018-12-10,58.770000,59.764999,57.779999,58.230000,47.369835,18705144
2018-12-17,58.830002,58.840000,56.270000,56.680000,46.108910,29383152
2018-12-24,56.810001,58.485001,55.040001,58.110001,47.272213,16265645
2018-12-31,58.360001,60.654099,57.720001,60.549999,49.257141,14350003
2019-01-07,60.009998,61.380001,59.740002,60.540001,49.249008,15118580
2019-01-14,60.119999,61.299999,59.430000,61.070000,49.680164,12112052
2019-01-21,61.070000,61.070000,58.580002,59.169998,48.134514,12932815
2019-01-28,58.340000,62.840000,58.119999,62.840000,51.120049,17928353
2019-02-04,62.869999,63.976501,62.255001,62.900002,51.168854,15243342
2019-02-11,62.310001,63.445000,61.970001,62.560001,50.892269,13699435
2019-02-18,62.560001,63.660000,62.209999,62.669998,51.753330,8674146
2019-02-25,62.680000,63.090000,62.049999,62.320000,51.464294,12482786
2019-03-04,62.270000,62.590000,60.299999,60.799999,50.209076,13588656
2019-03-11,60.910000,63.500000,60.880001,63.290001,52.265335,14695338
2019-03-18,63.709999,64.735001,62.740002,62.880001,51.926758,13329190
2019-03-25,63.029999,63.789902,62.240002,62.590000,51.687263,11944074
2019-04-01,63.419998,64.628502,63.169998,64.519997,53.281075,11388274
2019-04-08,65.160004,65.349998,64.459999,64.500000,53.264561,13309195
2019-04-15,64.800003,64.830002,64.024803,64.199997,53.016815,8620269
2019-04-22,64.559998,65.410004,62.634998,63.060001,52.075405,11390098
2019-04-29,62.730000,64.860001,62.590000,64.290001,53.091145,12135575
2019-05-06,63.560001,64.370003,61.810001,63.549999,52.480045,15564590
2019-05-13,63.970001,64.919998,63.166801,64.269997,53.074631,11287812
2019-05-20,64.449997,64.919998,62.169998,63.299999,53.042324,12865137
2019-05-27,63.299999,63.489899,61.669998,61.810001,51.793770,9398195
2019-06-03,62.369999,64.650002,61.810001,64.480003,54.031097,14143938
2019-06-10,64.480003,65.040001,63.310001,63.430000,53.151257,9018519
2019-06-17,62.889999,66.029999,62.790001,65.699997,55.053406,10316265
2019-06-24,65.889999,66.480003,64.940002,65.070000,54.525494,11040288
2019-07-01,66.360001,66.360001,64.315002,64.589996,54.123276,8005476
2019-07-08,64.449997,65.620003,64.184998,65.059998,54.517113,8356202
2019-07-15,65.040001,65.059998,62.770000,63.650002,53.335606,9778665
2019-07-22,63.680000,64.330002,62.820000,63.020000,52.807701,9317587
2019-07-29,63.889999,63.889999,58.020000,58.410000,48.944740,18802392
2019-08-05,57.580002,58.049999,56.520000,57.299999,48.014610,21667516
2019-08-12,57.490002,58.139999,54.779999,55.560001,46.556572,15101145
2019-08-19,56.279999,56.450001,54.980000,55.130001,46.979515,13518808
2019-08-26,55.869999,56.169998,54.840000,55.599998,47.380047,11492369
2019-09-02,55.599998,56.380001,54.560001,55.599998,47.380047,13073696
2019-09-09,56.029999,57.573002,55.930000,56.869999,48.462276,13502239
2019-09-16,58.630001,58.880001,57.439999,58.480000,49.834259,17434108
2019-09-23,58.400002,59.320000,57.570000,59.110001,50.371117,12986926
2019-09-30,58.549999,59.000000,56.130001,57.299999,48.828716,13728513
2019-10-07,57.480000,58.205002,56.430000,57.849998,49.297398,11782755
2019-10-14,57.549999,58.325001,57.389999,57.720001,49.186615,11675944
2019-10-21,57.900002,60.040001,57.900002,59.680000,50.856850,10552527
2019-10-28,60.090000,60.195000,57.660000,58.639999,49.970604,17277345
2019-11-04,59.669998,60.509998,59.430000,60.250000,51.342579,13930762
2019-11-11,59.779999,60.419998,58.980000,59.570000,50.763107,10461380
2019-11-18,59.419998,59.680000,58.250000,58.439999,50.588917,20884675
2019-11-25,58.869999,58.889999,57.279999,57.490002,49.766552,11755322
2019-12-02,57.630001,57.660000,56.029999,57.290001,49.593418,14734321
2019-12-09,57.369999,58.330002,57.180000,57.439999,49.723267,12666899
2019-12-16,58.380001,59.118999,58.020000,58.180000,50.363846,18289051
