Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,25.818750,25.818750,25.818750,25.818750,23.681770,800
2019-10-28,25.818750,25.818750,25.818750,25.818750,23.681770,0
2019-11-04,25.818750,26.961250,25.818750,26.961250,24.729706,800
2019-11-11,27.225000,27.225000,27.225000,27.225000,24.971626,800
2019-11-18,27.225000,28.000000,27.225000,28.000000,25.682478,800
2019-11-25,28.000000,28.000000,28.000000,28.000000,25.682478,0
2019-12-02,28.000000,28.000000,27.900000,27.900000,25.590755,800
2019-12-09,27.900000,30.326250,27.900000,30.326250,27.816189,382400
2019-12-16,29.857500,30.067499,29.718750,29.718750,27.258970,151200
2019-12-23,29.837500,29.907499,29.703751,29.703751,27.445807,8800
2019-12-30,29.703751,29.703751,29.325001,29.325001,27.095848,31200
2020-01-06,29.325001,30.080000,29.286249,30.080000,27.793451,44000
2020-01-13,30.080000,30.674999,30.080000,30.674999,28.343224,16000
2020-01-20,30.674999,30.846251,30.316250,30.316250,28.011745,18400
2020-01-27,30.316250,30.316250,29.662500,29.662500,27.407694,10400
2020-02-03,29.260000,31.125000,29.260000,30.558750,28.235813,17600
2020-02-10,30.600000,32.325001,30.600000,32.325001,29.867804,33600
2020-02-17,32.325001,32.325001,30.327499,31.059999,28.698959,7440
2020-02-24,31.059999,31.059999,30.318750,30.318750,28.014055,1600
2020-03-02,31.087500,32.343750,30.953751,32.343750,29.885126,25600
2020-03-09,32.343750,32.343750,30.232500,30.232500,27.934361,80800
2020-03-16,30.232500,30.232500,28.377501,28.413750,26.253870,37600
2020-03-23,28.413750,30.592501,28.413750,30.592501,28.540691,16000
2020-03-30,30.592501,31.375000,30.592501,31.375000,29.270714,11360
2020-04-06,31.375000,33.250000,31.035000,31.035000,28.953516,5680
2020-04-13,31.035000,35.321251,31.035000,35.321251,32.952286,2000
2020-04-20,35.500000,36.412498,35.372501,36.412498,33.970348,36160
2020-04-27,38.000000,38.099998,36.547501,36.547501,34.096294,20800
2020-05-04,35.810001,38.437500,35.810001,38.437500,35.859531,26640
2020-05-11,38.437500,38.437500,36.187500,36.468750,34.022820,28720
2020-05-18,36.599998,37.012501,34.987499,34.987499,32.640926,17680
2020-05-25,34.987499,34.987499,33.590000,33.590000,31.337154,10320
2020-06-01,33.912498,34.836250,33.625000,34.536251,32.219948,26080
2020-06-08,34.312500,35.411251,34.312500,35.411251,33.036251,27760
2020-06-15,35.411251,37.162498,35.411251,37.025002,34.541771,480
2020-06-22,36.687500,38.212502,36.687500,38.212502,35.924683,4400
2020-06-29,38.097500,39.750000,38.097500,39.750000,37.370132,16480
2020-07-06,39.750000,42.526249,39.750000,42.526249,39.980160,20320
2020-07-13,44.437500,45.375000,43.663750,44.750000,42.070778,30960
2020-07-20,44.812500,49.057499,43.683750,47.767502,44.907612,17840
2020-07-27,51.599998,53.258751,49.923752,51.500000,48.416653,25200
2020-08-03,52.375000,54.218750,52.032501,53.863750,50.638878,41920
2020-08-10,53.880001,54.750000,52.598751,52.715000,49.558895,46080
2020-08-17,55.602501,55.602501,53.507500,54.685001,51.410957,50960
2020-08-24,55.630001,57.338749,54.542500,54.551250,51.285221,47280
2020-08-31,54.150002,54.587502,51.938751,52.126251,49.005402,308240
2020-09-07,52.126251,53.137501,51.807499,52.615002,49.464897,496720
2020-09-14,53.737499,53.737499,53.051250,53.051250,49.875011,1120
2020-09-21,53.898750,54.898750,53.898750,54.898750,51.911011,320
2020-09-28,56.419998,58.163750,56.419998,57.500000,54.370689,5224
2020-10-05,57.500000,61.712502,57.500000,61.312500,57.975704,250792
2020-10-12,61.312500,62.548752,61.062500,61.250000,57.916607,5608
2020-10-19,62.224998,62.500000,61.250000,61.811249,58.447311,4272
2020-10-26,61.500000,61.763748,59.970001,60.049999,56.781914,9235
2020-11-02,60.049999,63.849998,60.049999,61.290001,57.954430,215803
2020-11-09,61.000000,64.599998,58.049999,63.750000,60.280548,16397
2020-11-16,65.400002,69.199997,63.590000,64.360001,60.857349,24194
2020-11-23,65.360001,67.199997,64.330002,66.360001,62.748508,12071
2020-11-30,65.739998,67.779999,64.150002,66.540001,62.918705,14820
2020-12-07,67.669998,68.400002,65.379997,65.800003,62.218983,5064
2020-12-14,64.730003,68.550003,64.730003,66.150002,62.549942,5228
2020-12-21,67.400002,68.000000,66.400002,67.750000,64.345375,1390
2020-12-28,68.000000,71.000000,68.000000,70.699997,67.147125,516923
2021-01-04,71.250000,84.239998,71.250000,80.309998,76.274208,102900
2021-01-11,82.709999,87.550003,78.379997,83.370003,79.180428,245510
2021-01-18,83.820000,90.750000,81.879997,88.559998,84.109612,124377
2021-01-25,88.559998,90.889999,80.839996,83.839996,79.626823,118439
2021-02-01,83.000000,88.330002,83.000000,85.849998,81.535812,65250
2021-02-08,85.849998,97.000000,85.849998,94.059998,89.333221,155808
2021-02-15,94.059998,96.000000,90.709999,92.029999,87.405251,230716
2021-02-22,93.599998,93.599998,85.470001,88.050003,83.625259,302361
2021-03-01,90.000000,92.000000,80.400002,85.839996,81.526306,311608
2021-03-08,85.849998,86.540001,80.800003,83.440002,79.246933,95838
2021-03-15,84.500000,84.500000,77.809998,78.129997,74.203758,101027
2021-03-22,79.790001,83.000000,75.779999,83.000000,79.131584,126222
2021-03-29,84.000000,89.150002,81.410004,88.870003,84.727997,124150
2021-04-05,90.160004,91.300003,84.050003,87.150002,83.088165,216671
2021-04-12,87.150002,87.949997,82.209999,83.000000,79.131584,143735
2021-04-19,83.300003,83.300003,78.230003,81.389999,77.596626,157327
2021-04-26,81.610001,83.150002,78.889999,79.550003,75.842384,196506
2021-05-03,80.470001,80.500000,75.720001,77.699997,74.078606,121752
2021-05-10,76.000000,76.000000,70.680000,74.989998,71.494904,140123
2021-05-17,73.199997,78.080002,71.430000,75.000000,71.504440,157870
2021-05-24,75.029999,77.019997,74.779999,76.510002,72.944077,77458
2021-05-31,76.790001,81.459999,74.570000,75.199997,71.695122,92473
2021-06-07,75.209999,75.809998,72.379997,75.690002,72.162285,115536
2021-06-14,75.279999,77.669998,72.959999,73.199997,69.788330,144152
2021-06-21,72.320000,72.989998,70.500000,72.029999,68.936836,152926
2021-06-28,72.339996,76.650002,72.250000,75.279999,72.047279,85388
2021-07-05,75.279999,78.709999,74.910004,77.349998,74.028381,113307
2021-07-12,78.000000,81.489998,73.400002,73.800003,70.630836,151222
2021-07-19,74.949997,76.940002,73.360001,75.900002,72.640656,83992
2021-07-26,76.989998,76.989998,72.480003,75.820000,72.564095,89207
2021-08-02,75.809998,78.099998,74.800003,77.080002,73.769981,86232
2021-08-09,77.160004,78.230003,74.800003,75.589996,72.343948,52602
2021-08-16,75.919998,75.989998,72.330002,72.769997,69.645058,211269
2021-08-23,74.209999,78.300003,73.360001,77.110001,73.798691,147104
2021-08-30,77.120003,80.639999,76.230003,80.000000,76.564575,159365
2021-09-06,80.760002,81.779999,78.500000,81.199997,77.713058,100853
2021-09-13,81.040001,81.599998,77.000000,78.150002,74.794044,109102
2021-09-20,76.900002,77.919998,75.610001,77.260002,74.256165,84265
2021-09-27,77.489998,78.400002,74.239998,74.959999,72.045601,81346
2021-10-04,74.959999,76.949997,73.750000,76.150002,73.189316,161780
2021-10-11,76.139999,79.050003,75.320000,77.989998,74.957779,82264
2021-10-18,78.489998,83.500000,78.250000,80.500000,77.370193,104726
2021-10-25,80.519997,81.419998,78.379997,80.559998,77.427864,80472
