Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,99.699997,103.169998,97.300003,98.260002,85.582298,37753700
2018-10-22,98.650002,100.470001,87.900002,90.559998,78.875740,82823200
2018-10-29,93.080002,97.989998,88.519997,95.059998,82.795151,49965300
2018-11-05,94.910004,98.790001,94.250000,96.099998,84.421799,29332900
2018-11-12,95.040001,98.430000,93.070000,97.849998,85.959145,34050700
2018-11-19,97.500000,98.070000,92.910004,95.099998,83.543327,24999400
2018-11-26,96.410004,99.889999,95.180000,99.849998,87.716103,30015300
2018-12-03,102.500000,102.580002,92.239998,92.379997,81.153862,31482700
2018-12-10,92.440002,97.370003,91.970001,94.260002,82.805405,32402800
2018-12-17,94.279999,95.980003,89.199997,90.410004,79.423256,49374400
2018-12-24,90.000000,95.750000,87.699997,93.809998,82.410095,24601300
2018-12-31,94.510002,95.250000,88.680000,92.900002,81.610672,29967100
2019-01-07,92.800003,99.070000,92.360001,98.589996,86.609238,29284100
2019-01-14,97.309998,99.980003,95.849998,99.419998,87.338348,27860200
2019-01-21,98.430000,104.870003,94.809998,104.410004,91.721977,46669300
2019-01-28,101.879997,104.129997,100.169998,101.989998,89.596054,33763300
2019-02-04,101.980003,106.889999,100.980003,104.550003,92.548088,34479300
2019-02-11,104.709999,108.389999,104.250000,107.570000,95.221405,22878100
2019-02-18,107.110001,108.459999,106.199997,107.309998,94.991234,15207200
2019-02-25,109.000000,109.489998,104.709999,106.760002,94.504395,23516100
2019-03-04,107.459999,108.129997,103.349998,104.860001,92.822510,21466900
2019-03-11,105.160004,110.800003,105.000000,110.739998,98.027496,29604100
2019-03-18,110.050003,112.980003,108.919998,109.680000,97.089180,21376600
2019-03-25,108.129997,109.220001,103.629997,106.070000,93.893593,23075900
2019-04-01,107.989998,114.269997,106.930000,113.629997,100.585732,27745900
2019-04-08,113.800003,117.029999,113.250000,116.760002,103.356430,19922700
2019-04-15,116.610001,117.849998,114.019997,115.510002,102.249916,18822100
2019-04-22,114.529999,119.320000,113.650002,117.209999,103.754761,34620500
2019-04-29,116.730003,118.919998,116.000000,117.470001,103.984917,19497800
2019-05-06,114.120003,116.000000,109.360001,112.599998,100.331680,23729100
2019-05-13,109.169998,110.870003,106.110001,106.790001,95.154716,28374000
2019-05-20,103.089996,108.000000,103.089996,105.059998,93.613220,23408500
2019-05-27,105.889999,106.120003,101.570000,104.309998,92.944946,18459300
2019-06-03,105.040001,111.830002,104.589996,111.169998,99.057495,23549300
2019-06-10,111.760002,114.339996,106.800003,107.309998,95.618065,24067700
2019-06-17,107.300003,114.349998,106.550003,112.320000,100.082207,19523900
