Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,229.970001,236.020004,225.830002,227.149994,224.451584,9021500
2018-10-22,227.779999,238.990005,217.880005,230.000000,227.267715,15166000
2018-10-29,233.809998,237.990005,224.679993,234.210007,231.427734,9568600
2018-11-05,235.320007,246.610001,233.699997,243.449997,240.557983,6641300
2018-11-12,242.490005,243.300003,228.850006,241.059998,238.196381,7326900
2018-11-19,240.860001,241.559998,230.300003,235.009995,232.218216,5869700
2018-11-26,237.160004,250.750000,235.809998,249.550003,246.585495,8729600
2018-12-03,253.649994,253.910004,234.050003,235.860001,233.058121,8040800
2018-12-10,236.949997,245.369995,231.559998,234.190002,231.407974,7765200
2018-12-17,232.000000,235.979996,214.929993,215.789993,213.376709,13135600
2018-12-24,214.240005,225.429993,208.339996,222.449997,219.962219,7578400
2018-12-31,224.429993,225.979996,210.070007,221.759995,219.279968,10355500
2019-01-07,222.000000,240.020004,222.000000,240.000000,237.315964,12051900
2019-01-14,237.949997,241.979996,233.710007,240.660004,237.968597,10585700
2019-01-21,238.580002,244.520004,237.550003,240.899994,238.205887,7628800
2019-01-28,238.089996,245.949997,235.899994,243.429993,240.707596,9915900
2019-02-04,243.529999,247.869995,240.589996,243.509995,240.786728,5801900
2019-02-11,243.509995,252.509995,243.380005,252.490005,249.666306,6151200
2019-02-18,251.669998,252.610001,249.699997,252.100006,249.280655,4149300
2019-02-25,252.520004,264.450012,252.509995,264.059998,261.106873,7647100
2019-03-04,266.000000,266.179993,246.669998,249.850006,247.055832,8172800
2019-03-11,250.869995,264.390015,249.630005,263.089996,260.147827,8341300
2019-03-18,263.049988,271.700012,261.100006,263.809998,261.051361,7685300
2019-03-25,266.869995,273.940002,264.010010,273.720001,270.857666,6114100
2019-04-01,275.140015,278.859985,272.769989,276.489990,273.598663,5006200
2019-04-08,276.700012,282.980011,273.980011,280.649994,277.715240,5948800
2019-04-15,280.369995,281.149994,253.220001,259.779999,257.063416,12281400
2019-04-22,260.000000,273.480011,254.139999,273.220001,270.363007,11463400
2019-04-29,273.959991,280.010010,270.649994,278.640015,275.726196,6421000
2019-05-06,272.779999,279.589996,260.799988,269.179993,266.365173,7591500
2019-05-13,262.920013,269.410004,258.029999,261.730011,258.993103,7968700
2019-05-20,262.179993,276.660004,260.250000,271.799988,268.957794,7245300
2019-05-27,273.820007,274.829987,262.109985,266.980011,264.188110,4947600
2019-06-03,268.290009,282.510010,264.299988,281.690002,278.744354,8709000
2019-06-10,282.869995,288.070007,282.429993,285.260010,282.276978,5777100
2019-06-17,285.869995,297.410004,284.799988,294.459991,291.575012,6868700
2019-06-24,295.200012,298.380005,288.690002,293.679993,290.802643,9404100
2019-07-01,299.130005,305.450012,295.010010,300.649994,297.704376,4516300
2019-07-08,299.299988,299.570007,288.299988,290.940002,288.089508,5397900
2019-07-15,290.809998,295.600006,284.540009,289.820007,286.980560,8396400
2019-07-22,291.000000,294.529999,278.519989,287.209991,284.395996,7157800
