Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,153.000000,154.529999,146.589996,148.699997,133.305115,31649400
2018-10-22,146.699997,147.380005,135.809998,142.740005,127.962143,35746000
2018-10-29,144.679993,149.979996,139.320007,148.559998,133.179611,23989200
2018-11-05,149.309998,153.300003,148.350006,150.250000,134.694611,21507100
2018-11-12,150.509995,152.940002,146.639999,151.419998,135.743500,16458800
2018-11-19,150.360001,151.380005,140.970001,143.539993,128.679306,18107300
2018-11-26,144.029999,154.369995,142.089996,153.779999,137.859161,23319100
2018-12-03,157.000000,159.630005,146.880005,147.449997,132.884018,20016300
2018-12-10,146.399994,151.149994,141.860001,142.570007,128.486069,22761200
2018-12-17,142.080002,142.639999,132.279999,132.539993,119.446884,24173000
2018-12-24,132.529999,138.580002,128.080002,136.779999,123.268028,12199700
2018-12-31,138.039993,138.580002,132.169998,137.789993,124.178253,17493000
2019-01-07,137.330002,155.289993,136.259995,153.210007,138.074997,29167400
2019-01-14,152.229996,158.800003,150.910004,158.339996,142.698242,21324700
2019-01-21,156.929993,162.000000,152.429993,160.949997,145.050369,27904000
2019-01-28,160.000000,161.889999,157.020004,159.669998,143.896835,22794900
2019-02-04,159.669998,162.020004,158.929993,161.720001,145.744324,17118400
2019-02-11,162.710007,171.350006,162.389999,170.240005,153.422684,19141900
2019-02-18,169.320007,172.440002,168.100006,170.059998,153.260483,14355600
2019-02-25,170.740005,171.229996,166.789993,167.440002,150.899246,17750200
2019-03-04,167.339996,170.110001,161.809998,164.300003,148.839218,17229800
2019-03-11,164.100006,168.919998,163.679993,165.000000,149.473389,26124700
2019-03-18,165.000000,167.570007,159.500000,160.619995,145.505524,20475500
2019-03-25,160.710007,168.139999,160.259995,167.199997,151.466324,15113800
2019-04-01,168.940002,171.289993,168.309998,168.720001,152.843338,13304000
2019-04-08,168.419998,169.639999,164.970001,169.500000,153.549927,14627400
2019-04-15,169.500000,177.770004,166.940002,176.660004,160.036118,19535800
2019-04-22,176.710007,179.550003,174.139999,177.220001,160.543396,15547600
2019-04-29,177.070007,180.020004,173.809998,179.199997,162.337128,11924600
2019-05-06,176.250000,179.630005,171.809998,175.919998,159.365784,14365800
2019-05-13,172.380005,176.529999,170.130005,174.619995,158.188080,20026900
2019-05-20,174.059998,176.330002,169.770004,172.169998,155.968674,12969500
2019-05-27,173.000000,174.009995,164.389999,166.779999,151.085861,13312400
2019-06-03,166.639999,173.050003,165.580002,171.970001,156.602966,13642200
2019-06-10,173.529999,174.929993,164.820007,166.990005,152.067917,14211200
2019-06-17,165.770004,170.419998,163.500000,168.869995,153.779922,21644600
2019-06-24,168.970001,169.389999,163.949997,169.110001,153.998505,15538000
2019-07-01,171.100006,173.429993,166.929993,170.029999,154.836288,9257300
2019-07-08,169.300003,174.350006,168.550003,174.050003,158.497040,10338700
2019-07-15,173.559998,177.589996,163.800003,175.300003,159.635345,27887500
2019-07-22,175.289993,176.139999,171.139999,174.229996,158.660980,13076300
2019-07-29,174.119995,180.539993,172.100006,173.520004,158.014435,17477400
2019-08-05,170.679993,171.410004,163.800003,168.009995,152.996780,12980700
2019-08-12,167.199997,169.649994,160.639999,166.250000,151.394043,13293200
2019-08-19,168.949997,170.279999,159.050003,159.979996,145.684311,14323900
2019-08-26,161.460007,164.080002,156.610001,161.960007,147.487411,20515900
2019-09-02,161.050003,167.210007,158.619995,164.600006,150.815063,12431300
2019-09-09,165.119995,172.210007,164.009995,171.449997,157.091400,14439700
2019-09-16,168.809998,170.889999,165.059998,166.380005,152.445953,13482200
2019-09-23,166.000000,169.350006,161.860001,162.690002,149.064987,17954600
2019-09-30,164.020004,164.910004,149.089996,156.320007,143.228516,21556000
2019-10-07,155.449997,162.240005,151.279999,161.389999,147.873886,19308100
2019-10-14,160.520004,166.110001,158.860001,161.500000,147.974686,21415700
2019-10-21,162.199997,172.679993,161.750000,172.330002,157.897690,14219000
2019-10-28,172.869995,173.059998,163.630005,172.529999,158.080902,14646900
2019-11-04,173.250000,180.000000,173.130005,176.100006,161.351974,15620400
2019-11-11,174.910004,177.110001,173.660004,176.270004,161.507721,9613100
2019-11-18,175.820007,177.710007,172.300003,175.940002,161.205368,13078600
2019-11-25,176.179993,179.990005,175.440002,175.990005,161.251160,8691700
2019-12-02,175.860001,176.570007,167.149994,172.000000,158.458420,14415800
2019-12-09,171.289993,177.529999,170.130005,177.029999,163.092377,12126400
2019-12-16,178.289993,180.839996,176.539993,180.399994,166.197037,19547400
2019-12-23,180.399994,181.589996,179.000000,181.410004,167.127533,5088800
2019-12-30,181.149994,182.380005,178.289993,180.979996,166.731400,7870800
2020-01-06,179.699997,181.050003,177.479996,177.940002,163.930740,16311800
2020-01-13,177.990005,185.649994,177.639999,185.320007,170.729706,15527800
2020-01-20,184.160004,188.960007,180.440002,185.679993,171.061371,14119300
2020-01-27,182.029999,184.270004,178.300003,179.419998,165.294205,16367300
2020-02-03,180.869995,187.669998,179.399994,183.830002,169.356995,11638300
2020-02-10,181.990005,185.960007,181.580002,184.000000,169.513641,9913000
2020-02-17,183.460007,185.500000,180.779999,181.720001,167.413116,11053200
2020-02-24,176.190002,178.119995,152.789993,159.809998,147.228119,34298700
2020-03-02,160.589996,167.619995,148.880005,156.089996,144.647476,26679000
2020-03-09,145.199997,147.000000,125.000000,143.850006,133.304810,41256900
2020-03-16,128.050003,135.869995,105.080002,117.839996,109.201477,41176700
2020-03-23,110.389999,143.619995,109.610001,139.050003,128.856613,30984100
2020-03-30,137.539993,144.710007,132.500000,138.570007,128.411850,22778900
2020-04-06,145.779999,153.509995,145.259995,148.729996,137.826996,17756400
2020-04-13,147.839996,151.330002,141.270004,149.889999,138.901978,18314600
2020-04-20,147.309998,158.259995,141.220001,156.089996,144.647476,23342500
2020-04-27,159.889999,166.229996,154.740005,156.639999,145.157150,17431400
2020-05-04,155.139999,159.360001,152.389999,158.259995,146.658401,11501600
2020-05-11,156.679993,157.949997,147.050003,151.240005,140.153046,18098700
2020-05-18,157.460007,168.699997,155.830002,165.160004,153.052597,16904700
2020-05-25,170.320007,174.080002,168.279999,169.860001,157.408035,15067600
2020-06-01,169.360001,187.830002,167.779999,184.830002,172.241714,18369600
2020-06-08,183.960007,185.990005,162.460007,166.179993,154.861923,19935200
2020-06-15,161.720001,174.479996,161.410004,167.850006,156.418182,19800800
2020-06-22,167.059998,171.259995,162.130005,162.639999,151.563049,20667600
2020-06-29,163.839996,170.729996,162.199997,169.080002,157.564407,11912800
2020-07-06,171.080002,172.360001,164.669998,166.389999,155.057632,13519300
2020-07-13,168.229996,182.520004,166.710007,181.250000,168.905548,17936800
2020-07-20,180.270004,181.039993,172.839996,176.119995,164.124939,14798600
2020-07-27,175.570007,179.240005,167.570007,173.350006,161.543610,15305700
2020-08-03,173.860001,182.960007,171.449997,182.929993,170.471100,10906600
2020-08-10,183.750000,193.889999,183.449997,191.919998,178.848831,15205200
2020-08-17,193.000000,195.089996,188.080002,191.570007,178.522659,11095100
2020-08-24,192.050003,195.800003,191.100006,195.130005,181.840225,9005900
2020-08-31,195.000000,197.960007,188.669998,191.139999,179.014999,15149400
2020-09-07,190.649994,197.330002,188.500000,195.940002,183.510544,9441000
2020-09-14,197.229996,205.779999,195.899994,199.800003,187.125687,13762500
2020-09-21,196.000000,200.820007,190.729996,198.149994,185.580368,10461100
2020-09-28,201.589996,202.199997,190.869995,196.350006,183.894501,14350400
2020-10-05,198.199997,206.479996,197.449997,205.779999,192.726303,12439400
2020-10-12,208.679993,210.949997,201.110001,209.850006,196.538147,11888700
2020-10-19,208.389999,210.649994,185.000000,188.139999,176.205307,19296900
2020-10-26,186.529999,186.929993,171.500000,177.190002,165.949936,22377100
2020-11-02,179.720001,193.899994,176.899994,190.070007,178.012894,18100500
2020-11-09,200.000000,207.779999,196.330002,203.440002,190.534744,17116800
2020-11-16,206.500000,209.940002,200.630005,203.389999,190.487930,11667500
2020-11-23,205.169998,211.139999,204.639999,205.639999,192.595200,8335600
2020-11-30,206.479996,208.289993,201.429993,206.050003,193.886688,16826500
2020-12-07,205.600006,206.990005,200.000000,203.059998,191.073196,10178700
2020-12-14,205.270004,205.460007,197.460007,203.600006,191.581329,14841900
2020-12-21,199.610001,203.850006,199.610001,203.389999,191.383728,5958600
2020-12-28,203.970001,208.649994,203.380005,208.220001,195.928589,6545000
2021-01-04,208.039993,221.279999,201.380005,218.820007,205.902863,13228000
2021-01-11,220.179993,220.990005,213.250000,216.600006,203.813904,11706700
2021-01-18,218.210007,218.820007,203.240005,207.130005,194.902924,16715800
2021-01-25,205.160004,207.309998,193.139999,197.470001,185.813171,19388400
2021-02-01,198.820007,207.679993,198.270004,204.199997,192.145889,12323500
2021-02-08,205.300003,213.699997,202.119995,213.160004,200.576965,11265100
2021-02-15,213.369995,215.419998,204.160004,209.059998,196.718979,12721200
2021-02-22,207.139999,212.949997,204.679993,205.960007,193.802017,15666700
2021-03-01,208.580002,211.600006,198.589996,209.710007,198.241348,15137100
2021-03-08,210.570007,217.500000,210.169998,214.089996,202.381760,13542200
2021-03-15,214.250000,217.710007,208.910004,210.800003,199.271729,18334200
2021-03-22,210.080002,223.210007,204.779999,222.919998,210.728912,19113400
2021-03-29,222.800003,223.949997,219.020004,220.210007,208.167114,10679100
2021-04-05,222.240005,224.619995,219.970001,223.240005,211.031403,9551000
2021-04-12,222.559998,225.779999,220.199997,222.710007,210.530396,10149500
2021-04-19,223.229996,226.210007,216.059998,223.539993,211.315002,15954200
2021-04-26,223.979996,228.320007,220.259995,222.089996,209.944305,13094500
2021-05-03,224.009995,229.970001,222.630005,229.479996,216.930145,12128500
2021-05-10,230.130005,231.259995,221.899994,227.860001,215.398758,9872300
2021-05-17,226.710007,227.309998,218.020004,221.520004,209.405487,13750900
2021-05-24,222.520004,225.809998,221.779999,224.729996,212.439941,15613600
2021-05-31,226.350006,227.380005,222.880005,226.169998,214.828049,8480600
2021-06-07,226.710007,226.710007,219.399994,221.330002,210.230759,11662600
2021-06-14,220.580002,223.889999,214.509995,214.809998,204.037735,14451900
2021-06-21,216.029999,221.500000,215.570007,221.270004,210.173782,15722700
2021-06-28,221.250000,225.929993,217.770004,224.720001,213.450775,11235600
2021-07-05,225.229996,228.740005,217.410004,221.690002,210.572708,14772600
2021-07-12,221.000000,222.130005,217.809998,218.419998,207.466705,16504000
2021-07-19,215.160004,224.500000,212.940002,220.149994,209.109940,17210700
2021-07-26,219.929993,222.000000,215.539993,218.759995,207.789627,12638200
2021-08-02,220.490005,221.699997,217.139999,220.500000,209.442398,11198700
2021-08-09,219.880005,228.570007,219.440002,227.800003,216.376312,10937700
2021-08-16,227.449997,228.279999,222.399994,223.710007,212.491425,10065100
2021-08-23,224.369995,226.080002,219.539993,221.429993,210.325745,11017200
2021-08-30,220.240005,220.619995,214.440002,214.910004,204.132721,20244500
2021-09-06,214.699997,216.750000,207.600006,207.759995,198.299500,14029300
2021-09-13,209.050003,209.550003,200.839996,201.470001,192.295929,23982700
2021-09-20,198.860001,204.869995,195.679993,203.800003,194.519821,17470100
2021-09-27,203.589996,206.490005,195.929993,201.740005,192.553650,17258700
2021-10-04,203.949997,216.720001,203.600006,216.479996,206.622421,18790900
2021-10-11,216.860001,225.699997,213.000000,225.160004,214.907166,11800400
2021-10-18,224.000000,239.649994,222.899994,237.589996,226.771164,14845000
